Cluster Index	Z	x	y	z	
9	9.92	38	-84	-4
9	9.17	-34	-88	-10
9	9.16	-40	-88	-4
9	8.72	36	-92	-10
9	8.65	-40	-82	0
9	8.5	32	-74	34
8	8.3	50	12	38
8	8.07	46	10	34
8	7.52	8	0	4
8	7.51	40	10	54
8	7.23	4	-20	4
8	7.19	38	0	22
7	6.63	24	56	-4
7	4.92	42	62	-6
7	4.69	30	62	-12
7	4.01	26	48	6
7	3.88	30	62	4
7	3.79	34	64	10
6	4.77	-36	54	12
6	3.94	-36	46	16
6	3.92	-34	42	12
6	3.85	-26	46	6
6	3.64	-30	58	4
6	3.53	-24	54	18
5	5.66	-42	6	28
5	3.73	-48	2	18
5	3.46	-40	-2	34
4	6.09	32	-20	68
4	4	22	-16	76
3	5.34	-24	-12	62
3	3.94	-16	-4	66
2	4.64	-48	16	10
2	4.03	-46	18	0
1	5	6	24	66
1	4.94	2	18	66
