Cluster Index	Z	x	y	z	
19	6.7	34	-88	16
19	6.5	30	-46	-24
19	6.38	46	-64	-2
19	6.32	52	-68	-4
19	6.27	44	-70	6
19	6.12	46	-64	-10
18	7.31	-40	-72	-8
18	6.37	-46	-66	-6
18	5.96	-30	-86	2
18	5.88	-40	-60	-8
18	5.75	-18	-94	-4
18	5.46	-48	-74	6
17	7.59	-4	4	56
17	5.41	-2	-4	64
17	5.27	-2	18	40
17	5.07	-8	14	38
17	4.93	-2	8	44
17	4.84	-6	34	18
16	6.3	-58	-24	34
16	6.11	-24	-50	50
16	5.78	-44	-28	40
16	5.35	-28	-56	58
16	5.2	-40	-44	52
16	5.09	-36	-48	54
15	7.1	52	10	24
15	6.53	42	0	10
15	5.49	52	4	32
15	5.19	46	2	4
15	5.05	46	-2	30
15	4.86	42	26	28
14	5.89	32	-58	56
14	5.19	30	-58	40
14	4.73	30	-66	46
14	4.73	36	-36	42
14	4.62	42	-42	48
14	4.48	38	-40	38
13	5.83	-42	4	26
13	5.58	-58	4	36
13	5.4	-42	38	12
13	5.39	-54	8	30
13	4.25	-58	-4	40
13	4.1	-38	28	16
12	5.35	-40	0	48
12	4.88	-30	-2	44
12	4.72	-32	-6	66
12	3.93	-22	2	52
12	3.76	-26	0	62
12	3.29	-42	-8	56
11	4.92	34	52	26
11	4.65	30	48	22
11	4.53	40	50	22
11	4.52	30	44	20
11	4.14	34	46	28
11	4	30	44	32
10	5.45	24	2	48
9	4.69	-24	0	4
9	4.05	-24	-8	-12
9	3.76	-28	-6	0
8	5.37	-50	-2	0
8	5.29	-52	-2	-4
8	4.81	-48	4	-8
8	4.07	-44	4	2
7	4.03	-8	-16	40
7	3.97	-4	-18	32
7	3.81	4	-30	28
7	3.55	-10	-22	44
7	3.48	6	-38	26
7	3.37	-8	-22	48
6	4.22	-2	-44	50
6	4.14	0	-56	50
6	3.74	-10	-50	50
6	3.15	-6	-56	58
5	4.17	8	-14	6
5	4.02	12	-14	10
5	3.79	6	-22	4
5	3.56	16	-18	12
5	3.25	10	-28	4
4	3.98	-10	-18	-4
4	3.91	-20	-28	2
4	3.67	-14	-26	6
4	3.62	-8	-12	0
3	5.64	62	-18	22
2	4.28	-36	-56	-30
2	4.02	-34	-54	-40
1	4.68	-34	12	4
1	4.1	-30	20	0
1	3.9	-32	20	-4
1	3.33	-38	16	-4
