Cluster Index	Z	x	y	z	
10	8.54	42	-60	44
10	7.5	30	-98	-2
10	7.5	36	-92	-2
10	7.17	32	-80	16
10	6.99	30	-96	4
10	6.99	24	-88	-16
9	10.8	-38	-74	-16
9	8.68	-38	-94	-12
9	8.13	-38	-92	8
9	7.99	-28	-96	10
9	7.92	-36	-98	-10
9	7.86	-32	-100	-2
8	9.56	-34	-64	52
8	5.6	-44	-54	44
8	5.53	-46	-40	66
8	5.39	-42	-30	70
8	4.99	-28	-66	42
8	4.97	-30	-52	38
7	6.22	62	12	30
7	5.91	58	14	42
7	5.56	56	14	20
7	5.08	62	4	36
7	4.96	56	10	48
7	4.88	56	2	34
6	6.05	-30	-10	70
6	4.86	-36	-14	68
6	4.74	-36	-6	66
6	4.61	-12	0	76
5	6.07	44	-2	62
5	5.64	32	-6	68
5	4.89	22	2	70
5	3.46	56	-4	54
4	4.96	52	20	-10
4	4.28	44	14	-2
4	3.82	36	20	-14
4	3.6	42	14	6
3	5.7	-58	0	40
3	4.71	-58	-8	48
3	4.11	-52	-2	30
2	5.67	-50	-24	14
2	4.9	-46	-28	16
2	3.71	-46	-28	22
2	3.69	-48	-16	10
1	3.95	6	-74	-26
1	3.62	0	-84	-28
