Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	2917	2.01e-33	32.7	8.15	34	-82	-26	37.6	-71.2	-18.1	680	38	-84	-26	242
19	2494	5.1e-30	29.3	7.82	-42	-80	0	-41.7	-72.1	-14.9	662	-42	-78	-24	240
18	1552	1.23e-21	20.9	6.34	-34	-64	50	-32.7	-56.5	46.7	521	-26	-64	60	230
17	946	2.67e-15	14.6	6.62	32	-48	38	31.2	-58.9	38	437	14	-74	52	211
16	661	7.44e-12	11.1	6.04	-50	-6	4	-45.9	-3.07	17.6	391	-38	-4	28	224
15	540	3.02e-10	9.52	5.47	42	-4	58	44	-2.2	41.2	536	36	-6	64	253
14	510	7.9e-10	9.1	6.36	10	2	44	3.26	6.62	41.6	388	10	2	44	229
13	416	1.82e-08	7.74	5.46	-8	-16	6	-1.38	-19.9	4.43	395	-6	-18	6	206
12	405	2.67e-08	7.57	5.83	-32	-10	66	-30	-9.73	65.3	635	-32	-10	66	307
11	386	5.96e-08	7.22	6.14	-56	-28	14	-57.2	-26.8	23.6	470	-54	-26	14	236
10	289	1.91e-06	5.72	5.2	18	-60	-52	16.4	-60.9	-51.9	279	12	-62	-52	181
9	198	8.29e-05	4.08	4.4	-22	56	-14	-27.7	57.5	-14.7	819	-34	56	-18	379
8	137	0.00145	2.84	4.43	-62	-48	30	-58.3	-49.1	30.8	238	-62	-48	30	180
7	131	0.00196	2.71	4.7	0	-78	-24	-0.944	-78.3	-27.4	268	0	-80	-22	190
6	130	0.00207	2.68	4.33	-30	14	4	-34.7	17.5	3.76	260	-34	14	4	193
5	125	0.00267	2.57	4.93	40	14	-4	43.7	12.9	-3.79	465	54	12	-8	240
4	121	0.00329	2.48	6.15	-34	-88	14	-34.4	-88.4	13.4	335	-34	-88	14	223
3	120	0.00346	2.46	4.11	62	-48	10	60.4	-43.7	14.9	237	62	-48	10	179
2	89	0.0188	1.73	4.71	16	0	72	18.8	1.73	69.2	549	16	0	72	289
1	77	0.0379	1.42	4.68	56	-24	28	57.7	-23	25.9	258	58	-24	28	202
