Cluster Index	Z	x	y	z	
22	7.07	-48	-26	36
22	6.79	-40	-42	46
22	6.52	-36	-32	32
22	5.91	-54	-22	44
22	5.12	-42	-18	62
22	5.01	-58	-24	8
21	8.94	-46	-80	2
21	8.66	-42	-76	-2
21	7.81	-46	-86	-2
21	7.74	-44	-64	-12
21	6.15	-52	-56	10
21	5.53	-40	-62	10
20	8.54	36	-84	6
20	7.12	42	-92	-2
20	7.08	42	-58	-14
20	7.07	36	-90	10
20	7	32	-94	6
20	6.63	46	-78	2
19	6.36	-10	-18	4
19	5.86	6	-18	6
19	4.59	-16	-22	-4
19	3.34	14	-12	14
18	6.03	14	-70	46
18	5.85	34	-62	22
18	4.86	20	-66	42
18	4.86	28	-60	32
17	5.23	64	-28	14
17	4.9	60	-38	22
17	4.89	66	-22	16
17	4.71	64	-42	14
17	3.73	66	-38	28
16	4.89	8	12	36
16	4.42	-4	-10	46
16	4.31	0	0	46
16	4.21	6	8	46
16	3.88	-8	6	44
16	3.87	-2	12	34
15	5.75	-54	2	2
15	5.67	-58	10	10
15	5.08	-34	16	6
15	5.05	-34	12	2
15	4.35	-44	16	2
14	5.76	14	-64	-52
14	4.97	14	-72	-46
14	3.6	28	-50	-52
14	3.15	30	-44	-52
13	4.66	32	-62	-18
13	4.29	18	-58	-10
13	4.27	16	-54	-24
13	4.19	16	-56	-20
13	3.92	30	-68	-18
13	3.57	24	-46	-28
12	5.44	52	-20	30
12	4.7	60	-24	44
12	4.39	60	-8	34
12	4.09	62	-22	36
12	3.8	64	-20	26
12	3.31	60	-30	48
11	7.21	-56	4	34
11	5.03	-52	10	28
11	4.88	-42	-2	26
11	4.21	-48	-2	30
11	3.68	-42	-6	34
10	4.66	42	4	28
10	4.62	54	6	-4
10	4.16	52	8	22
10	3.73	58	4	6
10	3.71	60	8	14
10	3.63	60	4	10
9	4.56	-22	-64	8
9	4.13	-18	-70	8
9	3.88	-18	-50	-4
9	3.51	-16	-72	22
9	3.19	-16	-70	16
8	5.36	-22	-88	-4
8	3.57	-22	-90	4
7	4.01	-22	-72	-52
7	3.97	-24	-66	-48
7	3.73	-12	-58	-52
7	3.72	-14	-72	-48
7	3.69	-10	-76	-50
7	3.64	-8	-74	-46
6	4.91	26	-48	-2
6	4.35	28	-54	4
6	3.95	26	-56	8
5	4.87	-24	-8	46
5	4.71	-26	-6	54
4	4.98	28	60	20
4	3.56	40	50	20
3	4.77	40	-40	46
3	3.7	34	-50	50
3	3.53	48	-36	48
3	3.52	34	-46	46
2	4.29	-36	62	8
2	4.25	-40	58	8
2	4.23	-36	64	0
1	4.95	28	-2	46
