Cluster Index	Z	x	y	z	
6	11.4	-46	-76	-10
6	11.2	46	-72	-10
6	11.1	38	-62	-14
6	10.8	-42	-84	-2
6	10.7	-46	-64	-14
6	10.4	-42	-76	0
5	8.02	46	-56	4
5	4.97	58	-48	0
4	5.05	50	36	26
4	4.6	48	36	18
4	4.22	56	26	30
4	4.01	40	50	16
4	3.88	48	46	22
4	3.78	40	44	14
3	8.14	-48	-26	20
3	6.67	-48	-32	12
3	3.98	-62	-14	24
3	3.5	-62	-20	16
3	3.4	-66	-16	20
2	4.89	-30	-68	-52
2	4.33	-44	-60	-50
2	4.03	-40	-64	-48
2	3.92	-24	-68	-42
2	3.56	-24	-56	-52
2	3.44	-20	-72	-40
1	5.33	-46	-46	22
1	4.33	-60	-44	12
1	3.81	-50	-54	16
1	3.66	-64	-42	2
1	3.28	-60	-50	18
