Cluster Index	Z	x	y	z	
19	11.2	-30	-92	-10
19	11.1	-46	-82	-2
19	10.3	-40	-88	0
19	8.03	-40	-84	-10
19	7.73	-40	-80	-8
19	7.71	22	-96	0
18	6.19	-20	8	-2
18	5.26	-30	-4	0
18	4.53	-26	0	-8
18	4.51	-18	-2	-14
17	5.55	-40	16	2
17	5.3	-30	28	-2
17	4.87	-48	16	-8
17	4.62	-48	18	-4
17	3.96	-36	26	18
17	3.92	-40	24	-10
16	6.04	-8	8	46
16	4.01	8	18	40
16	3.85	10	12	42
16	3.84	10	8	32
16	3.71	4	12	42
16	3.66	4	8	38
15	5.18	44	6	32
15	5.15	46	10	32
15	4.97	40	14	20
15	4.84	42	4	22
15	3.84	34	12	16
14	5.43	20	6	-12
14	5.07	26	6	-4
14	3.62	14	-4	10
14	3.57	16	2	14
14	3.47	22	2	8
13	5.83	-32	-10	46
13	5.16	-28	-2	50
13	3.56	-32	2	38
12	5.07	-14	-20	0
12	4.94	-16	-22	4
12	3.83	-20	-34	2
12	3.45	-14	-14	-12
11	5.36	-60	-20	20
11	5.35	-62	-24	16
11	4.84	-56	-24	10
11	4.15	-54	-28	16
11	4.07	-52	-30	12
11	3.48	-48	-22	16
10	6.16	-36	0	24
10	4.94	-56	6	18
9	5.78	38	18	0
9	4.92	32	26	-2
9	3.8	46	20	4
9	3.64	46	22	-6
8	4.98	36	8	58
8	3.74	28	14	66
7	5.31	40	-40	38
7	5.25	40	-42	42
7	3.81	32	-50	50
6	5.24	-54	0	44
6	3.95	-48	-18	42
6	3.93	-48	-18	38
6	3.85	-52	-10	52
5	4.6	50	-40	22
5	4.16	52	-44	14
5	4.12	46	-46	8
5	3.37	54	-34	34
4	4.7	-30	52	18
4	3.93	-26	46	24
4	3.6	-26	58	26
4	3.42	-22	60	22
4	3.36	-16	62	20
3	4.78	-56	-42	30
3	4.77	-62	-42	30
2	4.3	4	-20	30
2	3.89	-2	-26	30
2	3.42	0	-10	30
1	6.3	-4	-4	74
