Cluster Index	Z	x	y	z	
13	10.6	-22	-58	56
13	9.39	-22	-54	46
13	9.24	-42	-22	66
13	9.08	-34	-22	64
13	9.02	-36	-30	38
13	8.82	-36	-24	60
12	8.76	-32	-72	-8
12	8.14	48	-68	-10
12	8	44	-70	-14
12	7.7	32	-90	-4
12	7.62	40	-84	-6
12	7.39	-42	-50	-16
11	7.37	0	4	48
11	7.23	6	28	30
11	7.21	-4	6	42
11	6.97	38	2	58
11	6.78	0	-6	60
11	6.73	36	-2	58
10	6.27	26	-56	-54
10	5.49	22	-64	-56
10	5.19	16	-70	-50
10	4.75	14	-66	-56
10	4.51	12	-64	-60
10	4.45	8	-60	-52
9	5.38	50	16	-6
9	5.07	30	16	-12
9	4.86	52	16	-16
9	4.85	32	22	-4
9	4.67	44	10	-4
9	4.6	34	12	4
8	5.8	-52	14	-4
8	5.64	-30	14	10
8	5.47	-34	-8	12
8	4.92	-40	12	0
8	4.79	-42	-2	0
8	4.69	-34	-4	0
7	6.84	-52	-46	24
7	6.57	-46	-50	2
7	5.48	-48	-52	10
7	5.32	-50	-56	12
7	4.51	-54	-44	2
7	3.98	-64	-46	24
6	6.51	44	6	22
6	5.65	54	2	4
6	5.64	50	6	32
6	4.37	56	6	18
6	3.18	60	8	-4
5	5.72	-30	46	28
5	4.45	-26	60	16
5	4.16	-22	48	14
5	4.12	-22	64	10
5	4.07	-28	54	10
4	4.59	42	44	6
4	4.4	36	46	28
4	4.24	38	50	10
4	3.83	40	46	16
4	3.53	38	54	14
3	4.85	4	-68	-50
3	4.22	-10	-62	-48
3	4.15	-8	-66	-50
3	4.14	2	-76	-38
3	4.01	-12	-50	-46
3	3.84	-8	-54	-52
2	5.1	-48	32	20
2	4.79	-42	30	26
1	4.86	-28	-70	-56
1	4.62	-32	-70	-56
1	3.68	-16	-64	-60
1	3.62	-18	-70	-56
1	3.55	-24	-58	-54
