Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	8302	0	67.3	10.5	42	-58	-12	41.1	-56.6	13.9	864	46	-36	62	262
19	4079	5.07e-42	41.3	7.51	36	12	60	33.7	9.15	15.6	992	58	12	-10	262
18	3740	1.31e-39	38.9	7.24	-34	10	48	-30.9	2.48	12.5	530	-36	10	48	226
17	3642	6.73e-39	38.2	9.19	-48	-72	-8	-44.1	-72.5	3.44	963	-52	-72	-8	302
16	3498	7.67e-38	37.1	6.97	-30	-54	58	-40.6	-40	44.5	769	-48	-44	58	265
15	1489	5.07e-21	20.3	7.65	8	22	36	0.52	16	36	869	6	22	36	257
14	303	1.13e-06	5.95	7.49	-52	-20	8	-55.4	-19.7	9.14	552	-52	-20	8	274
13	239	1.43e-05	4.84	4.85	-20	-66	-2	-20.6	-64.8	-4.79	494	-18	-60	-4	260
12	177	0.000214	3.67	5.47	22	-90	-10	21.7	-92.6	-2.72	288	22	-92	-10	207
11	154	0.000631	3.2	5.3	4	-10	32	3.51	-16.2	29.1	358	2	-10	32	222
10	149	0.000803	3.1	4.98	38	52	12	35.8	56.6	4.67	467	40	60	-2	258
9	140	0.00125	2.9	4.95	-44	40	10	-42	39.2	14.1	338	-46	40	18	227
8	133	0.00178	2.75	5.14	6	-54	42	7.95	-55.2	47.7	391	4	-54	42	240
7	99	0.0107	1.97	4.4	36	48	24	39.1	44.8	22.6	363	44	44	20	244
6	90	0.0178	1.75	4.01	-32	60	10	-29.7	59.6	8.47	263	-32	68	6	190
5	87	0.0211	1.68	4.94	50	-38	-6	50	-36.2	-4.51	392	50	-36	-2	257
4	81	0.0299	1.52	4.74	-2	-74	2	-1.07	-74.4	-1.24	565	0	-70	0	368
3	80	0.0318	1.5	4.81	-10	-78	-36	-10.2	-78.3	-39	259	-10	-78	-36	175
2	79	0.0337	1.47	4.51	-30	-52	-28	-30.2	-50.9	-28.2	432	-38	-54	-26	245
1	79	0.0337	1.47	4.94	-18	-44	-52	-20.8	-42.8	-49.7	331	-24	-38	-46	208
