Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	13453	0	93.5	8.03	42	-88	6	7.84	-68.6	5.61	1.11e+03	10	-70	58	256
17	2696	1.15e-31	30.9	7.8	-30	-42	66	-41.9	-30.6	54.7	1.08e+03	-34	-40	66	281
16	624	2.25e-11	10.6	6.65	58	14	36	47	11.5	30.7	572	56	14	36	287
15	461	3.95e-09	8.4	5.73	8	-6	12	-5.15	-10.6	14.8	563	2	-6	12	231
14	385	5.96e-08	7.22	6.2	34	-48	-52	33.6	-51.6	-51.8	435	34	-46	-52	197
13	258	6.56e-06	5.18	5.82	-56	6	42	-49.5	4.94	39	482	-48	4	44	257
12	188	0.00013	3.89	5.81	2	8	44	2.38	12.8	43.3	608	0	16	42	294
11	164	0.000392	3.41	5.78	10	20	68	4.55	10.7	68	567	10	20	68	280
10	158	0.000521	3.28	4.66	26	54	-4	24	59.5	-8.32	345	26	68	-10	208
9	141	0.00119	2.92	5.92	36	0	12	36.9	-0.541	5.4	321	36	0	12	189
8	139	0.00131	2.88	5.08	46	16	-6	50.5	14.7	-7.03	599	54	14	-6	348
7	126	0.00254	2.6	4.85	56	-28	-2	51.3	-28.9	-1.74	371	56	-26	-2	208
6	118	0.00384	2.42	6.49	-54	8	-4	-55.3	10.2	-2.59	595	-54	10	-4	312
5	114	0.00475	2.32	5.2	44	40	28	42.8	37.5	27.4	408	44	40	28	245
4	113	0.00501	2.3	4.54	-42	-48	-52	-37.4	-50.9	-53.7	258	-42	-48	-54	186
3	111	0.00557	2.25	5.54	40	20	-20	41.3	24.1	-17.2	507	40	20	-20	269
2	93	0.015	1.82	4.73	-62	-24	24	-59.5	-27.4	18.3	329	-68	-26	20	219
1	89	0.0188	1.73	6.06	-4	-22	80	-0.865	-21.4	79.4	602	-2	-22	80	341
