Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	1390	4.88e-20	19.3	6.9	-38	-88	-12	-31.7	-75.8	3.94	474	-24	-98	2	230
13	958	1.95e-15	14.7	5.98	38	-88	-10	31.8	-69.3	-14.7	411	44	-74	-20	225
12	578	9.19e-11	10	6.13	6	4	48	0.5	7.4	41.4	670	0	0	50	262
11	526	4.72e-10	9.33	5.57	-44	-28	48	-42.2	-32.3	50.7	496	-48	-32	60	234
10	282	2.5e-06	5.6	4.39	36	-2	46	43.4	1.31	46.7	417	44	-2	54	246
9	203	6.65e-05	4.18	6.34	-38	-4	48	-34.9	-4.64	49.7	407	-40	-2	54	244
8	200	7.59e-05	4.12	4.64	-14	8	-8	-20	3.14	-4.96	290	-14	8	-8	208
7	148	0.000843	3.07	5.05	12	-76	20	12.9	-71	16.6	441	10	-76	20	264
6	131	0.00196	2.71	5.07	32	-80	22	29.3	-85.4	19.3	354	32	-90	22	221
5	117	0.00405	2.39	4.7	32	-56	52	29.4	-59.1	52	310	32	-56	54	228
4	115	0.0045	2.35	4.84	-10	-18	0	-10.3	-17.6	3.25	262	-8	-20	6	203
3	111	0.00557	2.25	4.66	26	-70	38	28.1	-69.4	38.1	289	30	-76	40	220
2	94	0.0142	1.85	4.2	54	-24	54	51.5	-25.3	49.1	410	56	-22	54	228
1	77	0.0379	1.42	3.91	-40	-22	60	-35.7	-18.2	51.5	285	-36	-20	56	206
