Cluster Index	Z	x	y	z	
8	6.35	-62	-20	24
8	6.27	-38	-24	66
8	5.6	-28	-26	72
8	5.41	-62	-24	42
8	5.19	-44	-34	66
8	5	-48	-12	56
7	6.62	-46	-76	-4
7	5.39	-52	-70	6
7	4.95	-42	-88	-4
7	4.89	-38	-90	-14
7	4.87	-38	-80	-8
7	4.69	-34	-94	-14
6	5.61	40	-74	-6
6	5.29	52	-68	-8
6	4.52	52	-58	10
6	4.25	52	-66	6
6	3.87	46	-78	0
6	3.83	54	-62	-4
5	5.12	-30	-42	38
5	4.74	-34	-50	52
5	4.69	-40	-40	42
5	4.35	-32	-44	48
4	5.35	40	-50	56
4	4.57	44	-50	60
4	3.73	38	-42	42
4	3.42	32	-42	38
4	3.2	36	-48	38
3	4.9	-4	0	50
3	3.75	6	4	46
3	3.48	8	-4	50
2	5.78	-34	2	10
1	4.22	44	-10	62
1	3.88	36	4	58
1	3.83	40	-4	60
