Cluster Index	Z	x	y	z	
18	8.03	42	-88	6
18	7.49	24	-62	-16
18	7.18	10	-70	58
18	7.16	-28	-74	26
18	7.12	34	-60	-16
18	6.99	34	-46	-30
17	7.8	-30	-42	66
17	7.69	-56	-34	54
17	7.19	-24	4	72
17	6.99	-42	-36	64
17	6.62	-44	-46	58
17	6.53	-24	-38	70
16	6.65	58	14	36
16	5.75	36	8	28
16	5.38	48	14	30
16	4.69	54	6	42
16	4.63	38	2	30
16	4.39	48	4	30
15	5.73	8	-6	12
15	5.2	-12	-14	18
15	4.68	-16	-20	20
15	4.67	-16	-10	22
15	4.5	-8	-6	12
15	4.16	-16	-2	24
14	6.2	34	-48	-52
14	4.56	40	-64	-56
14	3.66	28	-52	-58
14	3.33	42	-54	-44
13	5.82	-56	6	42
13	5.36	-48	4	44
13	5.22	-46	4	34
13	4.74	-56	0	44
13	4.47	-52	10	32
13	4.39	-50	8	52
12	5.81	2	8	44
12	5.66	4	16	42
12	3.92	10	22	50
12	3.84	0	0	38
12	3.72	4	14	34
11	5.78	10	20	68
11	5.07	0	4	72
11	5.07	-2	20	68
11	4.9	6	6	72
11	4.87	6	6	68
10	4.66	26	54	-4
10	4.54	24	66	-12
10	4.49	26	66	-8
10	4.25	26	60	-10
9	5.92	36	0	12
9	4.96	40	2	2
9	4.04	36	0	-6
8	5.08	46	16	-6
7	4.85	56	-28	-2
7	4.18	48	-34	4
7	3.57	46	-28	2
6	6.49	-54	8	-4
6	4.21	-50	14	-14
5	5.2	44	40	28
5	4.64	44	32	26
4	4.54	-42	-48	-52
4	4.09	-34	-58	-56
4	3.24	-26	-46	-54
3	5.54	40	20	-20
3	4.39	42	28	-14
3	4.25	44	24	-18
3	3.23	46	34	-20
2	4.73	-62	-24	24
2	4.03	-58	-30	16
2	3.51	-68	-28	20
2	3.26	-52	-26	20
1	6.06	-4	-22	80
1	3.63	6	-22	80
1	3.61	2	-30	78
1	3.56	6	-26	80
