Cluster Index	Z	x	y	z	
19	7.26	46	-62	-4
19	6.65	44	-82	-2
19	6.53	38	-84	2
19	6.4	36	-90	4
19	6.1	30	-74	32
19	5.97	60	-44	8
18	6.91	-28	-8	46
18	6.05	-30	-56	48
18	6	-28	-4	54
18	5.95	-24	-68	28
18	5.61	-40	-40	36
18	5.46	-44	-36	38
17	6.21	-44	-66	-2
17	6.2	-46	-72	2
17	5.8	-46	-62	-18
17	5.42	-32	-72	-18
17	5.39	-56	-68	16
17	5.23	-32	-78	-6
16	6.42	2	18	56
16	5.84	-4	14	48
16	5.57	8	30	28
16	5.38	6	18	44
16	5.03	4	34	54
16	4.74	0	8	58
15	6.46	32	18	-10
15	5.9	36	18	0
15	5.44	42	18	-6
15	5.39	48	14	-8
15	5.34	48	8	-6
15	5.16	32	18	6
14	6.6	46	8	30
14	5.98	42	2	18
14	5.76	50	14	34
14	5.7	48	2	18
14	4.95	40	14	30
14	4.82	34	8	28
13	5.48	-8	-18	6
13	4.93	-10	4	6
13	4.86	-6	-20	-2
13	4.34	-10	-14	-4
13	4.19	-8	-4	2
13	4.15	-12	-26	6
12	5.91	10	-18	6
12	4.3	6	4	6
12	4.25	8	0	-4
12	3.91	8	-4	8
12	3.91	6	-26	-12
12	3.78	8	-16	-4
11	5.84	-46	4	34
11	4.56	-54	6	22
11	4.5	-54	8	34
11	3.78	-54	6	46
11	3.63	-40	2	46
10	6.46	30	-4	50
10	4.55	22	8	42
10	4.49	22	8	46
10	3.31	20	-2	44
10	3.22	44	-2	52
9	5.97	48	-34	50
9	4.39	44	-38	40
9	3.52	60	-38	44
9	3.36	54	-38	42
8	4.56	-4	-80	-30
8	4.2	2	-72	-20
8	4.15	6	-76	-20
8	3.4	16	-70	-22
7	4.59	26	66	-8
7	4.31	14	70	2
6	5.29	-28	12	10
6	5.2	-28	18	8
6	4.36	-28	22	-8
6	3.41	-28	24	2
5	4.6	4	-38	22
5	4.48	-2	-32	22
5	3.92	8	-30	26
4	4.31	-58	-30	46
4	3.72	-58	-18	38
4	3.71	-62	-22	34
4	3.63	-56	-22	32
4	3.35	-62	-24	42
3	4.53	32	50	18
3	4.23	28	44	22
3	3.99	26	42	14
2	4.43	24	-62	-52
2	3.59	24	-74	-46
2	3.55	34	-62	-52
1	4.04	16	16	-10
1	3.69	16	10	-12
1	3.54	8	14	-4
1	3.41	18	4	-10
