Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	3359	8.28e-37	36.1	7.26	46	-62	-4	39.5	-68.4	8.99	512	62	-44	8	222
18	2440	1.43e-29	28.8	6.91	-28	-8	46	-30.1	-36.2	49.4	531	-30	-12	70	221
17	1510	3.16e-21	20.5	6.21	-44	-66	-2	-38.7	-72.7	-4.29	402	-48	-72	0	213
16	986	9.41e-16	15	6.42	2	18	56	1.05	16.2	45.6	407	-4	14	48	224
15	742	7.07e-13	12.2	6.46	32	18	-10	37.6	16.8	-4.24	499	50	14	-8	246
14	685	3.67e-12	11.4	6.6	46	8	30	44.5	7.02	26.5	444	50	16	36	248
13	499	1.13e-09	8.95	5.48	-8	-18	6	-9.69	-12.5	1.12	357	-8	-18	6	197
12	470	2.93e-09	8.53	5.91	10	-18	6	9.28	-12.1	3.85	450	2	-14	8	218
11	383	5.96e-08	7.22	5.84	-46	4	34	-48.2	4.22	31.4	403	-46	4	32	206
10	341	2.38e-07	6.62	6.46	30	-4	50	28.6	-0.0794	49.4	320	30	-4	50	186
9	257	6.79e-06	5.17	5.97	48	-34	50	47.6	-34.9	47.9	406	48	-32	58	208
8	230	2.09e-05	4.68	4.56	-4	-80	-30	-0.13	-76.3	-22.9	210	0	-82	-18	151
7	213	4.3e-05	4.37	4.59	26	66	-8	18.5	67.5	-3.83	761	26	66	-6	438
6	207	5.58e-05	4.25	5.29	-28	12	10	-29.9	16.6	3.33	310	-28	18	8	197
5	184	0.000155	3.81	4.6	4	-38	22	1.78	-33.7	22.9	347	0	-32	24	244
4	149	0.000803	3.1	4.31	-58	-30	46	-57.8	-25	39.9	282	-52	-30	54	194
3	136	0.00153	2.82	4.53	32	50	18	28.3	45.4	15.6	310	32	50	18	192
2	94	0.0142	1.85	4.43	24	-62	-52	25.9	-64.9	-50.4	190	24	-62	-52	140
1	80	0.0318	1.5	4.04	16	16	-10	14.7	13	-9.24	215	6	14	-4	175
