Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	1072	1.04e-16	16	6.2	-34	-90	-16	-39.1	-73.5	-17.1	715	-42	-60	-24	258
10	848	3.69e-14	13.4	6.25	38	-78	-14	35.9	-83.7	-10.4	573	40	-68	-18	271
9	756	4.75e-13	12.3	7.4	-58	-24	46	-51.2	-31.8	47.2	586	-46	-42	60	261
8	643	1.27e-11	10.9	7	-58	6	10	-50.8	1.39	15.4	533	-58	6	10	242
7	340	2.98e-07	6.53	5.5	32	-56	-20	31.2	-52.3	-23.1	473	38	-58	-22	255
6	220	3.18e-05	4.5	5.48	-30	-52	46	-30.9	-54	48.5	375	-30	-54	52	247
5	204	6.37e-05	4.2	5.88	-32	-90	16	-31.9	-85.9	15.5	430	-32	-92	16	243
4	203	6.65e-05	4.18	5.59	-4	-8	54	-0.724	-4.85	52.4	465	-2	-6	54	295
3	156	0.000573	3.24	4.59	30	-60	58	32	-55.2	57.2	425	32	-60	58	245
2	145	0.000977	3.01	5.46	-32	-6	64	-30.6	-4.93	63	470	-32	-6	64	266
1	121	0.00329	2.48	4.8	32	-68	24	27.4	-75.3	25.1	311	28	-78	20	221
