Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	2932	1.53e-33	32.8	6.7	34	-88	16	38.7	-69.6	-3.7	480	30	-60	-18	231
18	2325	1.32e-28	27.9	7.31	-40	-72	-8	-37.2	-75.2	-1.48	424	-40	-72	-8	234
17	1720	3.11e-23	22.5	7.59	-4	4	56	-1.06	11.6	42	697	-2	2	58	273
16	1686	6.48e-23	22.2	6.3	-58	-24	34	-38.8	-40.6	45.3	581	-28	-56	58	246
15	1652	1.36e-22	21.9	7.1	52	10	24	45.7	7.62	18.2	549	52	10	26	237
14	1048	1.92e-16	15.7	5.89	32	-58	56	33.5	-49.2	47.9	513	42	-38	60	233
13	564	1.42e-10	9.85	5.83	-42	4	26	-46.3	19.6	23.8	414	-54	8	30	238
12	465	3.46e-09	8.46	5.35	-40	0	48	-32.4	-2.96	54.5	377	-32	-6	66	224
11	371	5.96e-08	7.22	4.92	34	52	26	36	46.4	22.3	400	34	44	34	224
10	225	2.57e-05	4.59	5.45	24	2	48	25.4	-1.14	48.4	312	24	2	50	209
9	165	0.000374	3.43	4.69	-24	0	4	-25.7	-2.74	-1.63	262	-24	0	4	204
8	156	0.000573	3.24	5.37	-50	-2	0	-49.2	1.37	-3.9	349	-58	2	-2	234
7	146	0.00093	3.03	4.03	-8	-16	40	-2.91	-21.4	35.6	287	-2	-14	40	208
6	145	0.000977	3.01	4.22	-2	-44	50	-2.02	-49.8	51	291	0	-56	56	228
5	139	0.00131	2.88	4.17	8	-14	6	9.37	-16.1	5.56	334	10	-16	6	230
4	123	0.00296	2.53	3.98	-10	-18	-4	-13.2	-21.5	0.665	255	-8	-18	-6	193
3	113	0.00501	2.3	5.64	62	-18	22	60.8	-19.6	21.4	372	62	-18	22	255
2	99	0.0107	1.97	4.28	-36	-56	-30	-34.3	-55.6	-33.5	259	-36	-56	-30	190
1	79	0.0337	1.47	4.68	-34	12	4	-32.9	15.4	1.2	285	-34	12	4	206
