Cluster Index	Z	x	y	z	
11	6.2	-34	-90	-16
11	5.9	-24	-88	-30
11	5.68	-46	-80	-16
11	5.37	-44	-70	-22
11	5.2	-44	-80	-6
11	5.19	-40	-60	-24
10	6.25	38	-78	-14
10	6.07	44	-74	-12
10	6.03	32	-94	-16
10	5.94	38	-90	-8
10	5.71	38	-88	-4
10	5.27	40	-80	-4
9	7.4	-58	-24	46
9	6.07	-46	-40	58
9	6.02	-58	-26	32
9	5.88	-58	-22	34
9	5.72	-52	-36	56
9	4.75	-46	-32	42
8	7	-58	6	10
8	5.65	-48	0	4
8	5.25	-52	4	18
8	5.09	-52	4	28
8	4.92	-36	-6	14
8	4.75	-36	0	14
7	5.5	32	-56	-20
7	5.18	38	-54	-24
7	5.12	40	-48	-22
7	4.51	20	-48	-28
7	4.46	22	-48	-24
7	3.67	32	-42	-30
6	5.48	-30	-52	46
6	4.56	-32	-62	56
6	3.54	-38	-54	52
5	5.88	-32	-90	16
5	4.91	-32	-82	16
5	4.5	-28	-78	24
5	3.77	-40	-78	14
4	5.59	-4	-8	54
4	4.37	-2	2	50
4	4.19	8	-4	54
3	4.59	30	-60	58
3	4.45	32	-54	58
3	4.44	36	-54	60
3	4.19	30	-58	52
3	3.88	30	-50	48
2	5.46	-32	-6	64
2	4.77	-28	-6	70
1	4.8	32	-68	24
1	4.68	28	-78	20
1	4.62	22	-84	28
