Cluster Index	Z	x	y	z	
23	8.55	-40	-16	66
23	8.27	-52	-32	56
23	7.94	-62	-22	28
23	6.93	-20	-54	62
23	6.84	-40	-40	60
23	6.77	-64	-26	44
22	10.7	36	-90	-4
22	7.31	54	-62	-18
22	7.28	34	-72	26
22	6.88	46	-70	-16
22	6.29	34	-80	22
22	6.21	26	-96	6
21	11.3	-36	-88	-8
21	9.14	-36	-88	-18
21	7.56	-48	-72	-22
21	7.29	-42	-74	-18
21	7.24	-40	-60	-16
21	7.11	-40	-68	-10
20	7.84	58	-44	22
20	6.76	34	-48	42
20	6.24	54	-46	28
20	6.23	56	-36	52
20	6.13	52	-38	34
20	6.04	48	-40	14
19	7.15	4	10	42
19	6.56	4	6	48
19	5.74	-4	2	40
19	5.54	-10	-12	46
19	5.48	0	-4	42
19	5.06	-10	12	46
18	6.9	8	-16	4
18	5.63	36	32	-2
18	5.36	26	-6	-4
18	5.14	30	-2	-6
18	4.78	46	12	-10
18	4.56	38	-4	10
17	6.53	58	6	0
17	5.96	58	8	22
17	5.68	48	4	18
17	5.16	46	8	26
17	4.84	40	8	26
17	4.63	42	12	30
16	7.34	30	-6	50
16	5.43	18	10	68
16	5.17	24	4	68
16	4.53	34	2	62
16	4.34	28	8	58
15	5.15	-20	-68	-36
15	4.75	-6	-76	-24
15	4.69	-14	-78	-26
15	4.36	-14	-74	-46
15	4.28	-6	-78	-32
15	3.92	-20	-74	-50
14	6.61	30	28	26
14	6.29	28	34	24
14	4.9	28	46	20
14	4.87	30	46	34
14	4.84	24	52	28
14	4.8	30	42	22
13	5.67	0	-76	14
13	5.02	0	-82	4
13	4.08	14	-66	4
13	3.75	0	-80	-6
12	6.66	-8	-18	4
12	4.12	-10	-8	6
12	3.81	-8	-18	-6
12	3.35	-18	-32	0
11	6.57	-44	-2	32
11	5.82	-60	2	32
11	4	-58	-6	38
10	5.55	-42	8	-2
10	5.24	-44	-6	2
10	4.9	-46	10	-8
10	4.86	-40	-6	6
10	4.57	-38	-6	12
10	3.98	-36	8	8
9	6.74	2	-32	24
9	6.26	-4	-32	24
8	4.68	-26	-8	2
8	4.5	-24	-6	-14
8	4.46	-24	0	0
8	4.39	-30	-10	-6
8	4.37	-24	4	-6
8	3.49	-16	12	-10
7	5.9	34	-48	-24
7	5.03	28	-50	-32
7	4.82	28	-46	-30
6	5.42	16	-74	-24
6	3.83	22	-72	-16
6	3.78	24	-66	-18
6	3.55	12	-66	-16
6	3.51	0	-66	-16
5	4.83	-32	36	36
5	4.26	-38	30	38
4	6.26	-28	26	2
4	4.21	-26	22	-6
3	4.38	14	-34	-46
3	3.74	20	-44	-50
3	3.66	20	-38	-50
2	4.32	-10	-52	-42
2	4.01	-10	-48	-52
2	3.6	-16	-40	-50
2	3.39	-10	-50	-58
1	5.56	34	-52	64
