Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
9	29634	0	159	9.92	38	-84	-4	0.435	-59.1	5.39	1.26e+03	24	-92	-16	290
8	10610	0	79.6	8.3	50	12	38	12.7	1.38	8.52	1.05e+03	0	-6	2	274
7	497	1.2e-09	8.92	6.63	24	56	-4	29.2	58	-1.66	557	26	62	-6	272
6	219	3.33e-05	4.48	4.77	-36	54	12	-31.2	50.8	11.3	337	-36	58	14	205
5	212	4.49e-05	4.35	5.66	-42	6	28	-39.9	5.15	27	374	-42	6	28	217
4	161	0.000451	3.35	6.09	32	-20	68	30.8	-20.5	69.2	561	32	-22	70	317
3	106	0.0073	2.14	5.34	-24	-12	62	-21.3	-9.83	63	264	-24	-12	62	173
2	103	0.00859	2.07	4.64	-48	16	10	-46.5	18.7	5.76	232	-48	16	10	182
1	87	0.0211	1.68	5	6	24	66	3.46	22.3	64	635	6	24	66	471
