Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	10414	0	78.6	11.2	-30	-92	-10	-7.78	-71.9	16.3	805	-46	-84	-2	224
18	489	1.56e-09	8.81	6.19	-20	8	-2	-23.7	2.82	-2.57	353	-20	8	-2	190
17	379	5.96e-08	7.22	5.55	-40	16	2	-40.3	18	0.411	402	-48	16	-8	211
16	361	1.19e-07	6.92	6.04	-8	8	46	-3.38	8.04	43.5	381	-6	10	46	216
15	334	3.58e-07	6.45	5.18	44	6	32	42.9	9.08	26.9	330	46	8	32	204
14	333	3.58e-07	6.45	5.43	20	6	-12	22	5.3	-3.6	296	20	6	-12	174
13	254	7.69e-06	5.11	5.83	-32	-10	46	-32.1	-8.2	47.5	305	-32	-10	46	183
12	208	5.35e-05	4.27	5.07	-14	-20	0	-14	-21.4	0.185	232	-10	-22	0	165
11	198	8.29e-05	4.08	5.36	-60	-20	20	-57.8	-23.9	15.9	430	-52	-30	12	216
10	194	9.91e-05	4	6.16	-36	0	24	-46	2.4	21.5	411	-52	6	18	218
9	178	0.000204	3.69	5.78	38	18	0	36.8	21.8	-1.46	327	38	18	0	189
8	158	0.000521	3.28	4.98	36	8	58	33.4	7.6	58.3	516	34	8	60	271
7	140	0.00125	2.9	5.31	40	-40	38	38.6	-42.3	41.8	301	40	-40	38	189
6	132	0.00187	2.73	5.24	-54	0	44	-51.7	-8.16	42.9	266	-54	0	44	176
5	127	0.00241	2.62	4.6	50	-40	22	51.5	-41.7	17.7	249	56	-34	34	170
4	114	0.00475	2.32	4.7	-30	52	18	-27.7	53.6	20.5	254	-28	56	22	183
3	97	0.012	1.92	4.78	-56	-42	30	-58.1	-42.8	29	360	-58	-44	30	246
2	87	0.0211	1.68	4.3	4	-20	30	1.21	-20.9	29.8	359	2	-20	32	252
1	80	0.0318	1.5	6.3	-4	-4	74	-5.08	-3.35	72.7	716	-4	-4	74	335
