Cluster Index	Z	x	y	z	
19	5.8	-32	-54	40
19	5.64	-30	-62	54
19	5.56	-48	-38	50
19	5.53	-20	-68	56
19	5.48	-26	-52	44
19	5.34	-40	-14	66
18	7.97	52	-70	-2
18	6.47	44	-64	-4
18	6.4	42	-84	-14
18	5.7	44	-48	-26
18	5.64	44	-80	-20
18	5.59	34	-92	0
17	7.21	-50	-76	-10
17	6.98	-34	-98	2
17	6.96	-30	-92	0
17	6.36	-50	-74	8
17	6.06	-42	-76	-12
17	5.76	-38	-90	-20
16	6.85	32	-56	66
16	6.03	38	-54	60
16	5.95	32	-46	42
16	5.58	52	-42	24
16	5.06	58	-48	12
16	4.92	48	-36	36
15	5.2	22	-62	40
15	5.19	28	-66	48
15	4.64	24	-82	30
15	4.52	12	-76	44
15	4.46	12	-78	48
15	4.45	28	-70	24
14	6.56	50	14	26
14	5.43	42	10	20
14	5.04	40	12	24
14	4.81	50	16	36
14	4.35	54	16	40
14	3.95	62	16	10
13	4.98	-2	-2	58
13	4.81	6	6	54
13	4.77	0	-2	48
13	4.72	2	16	40
13	4.7	2	12	42
13	4.56	0	-6	50
12	6.15	-20	-64	30
12	5.54	-36	-84	16
12	4.46	-26	-86	12
12	4.46	-22	-76	30
12	4.29	-24	-70	24
12	4.23	-26	-74	20
11	4.21	30	-8	48
11	4.06	42	-4	60
11	4.04	36	-10	68
11	3.95	40	-2	50
11	3.87	38	-2	46
11	3.77	38	-10	64
10	4.72	-38	-58	-24
10	4.28	-26	-50	-24
9	3.96	32	16	-6
9	3.96	46	16	2
9	3.87	42	20	-8
9	3.84	32	20	-4
9	3.21	50	16	6
8	5.63	-62	-20	28
8	3.98	-52	-22	24
7	5.09	-50	8	38
7	3.59	-48	0	32
7	3.37	-44	6	34
6	4.96	14	-6	78
6	4.21	16	-2	76
6	4.18	4	-34	78
6	4.07	4	-14	78
5	5.21	4	-38	24
5	4.41	-2	-38	22
4	4.73	38	-80	18
4	3.87	42	-76	26
4	3.75	38	-82	10
3	4.99	-18	6	22
3	3.96	-26	16	18
2	4.62	26	54	-14
2	4.25	22	60	-16
2	3.96	22	58	-10
1	5.15	48	-24	-8
