Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	4125	2.41e-42	41.6	8.54	42	-60	44	34.5	-72.1	6.62	868	36	-72	48	264
9	2741	4.99e-32	31.3	10.8	-38	-74	-16	-34.4	-84.3	-5.09	898	-40	-74	-16	288
8	932	3.87e-15	14.4	9.56	-34	-64	52	-42	-49.6	46.3	959	-36	-66	52	290
7	389	5.96e-08	7.22	6.22	62	12	30	57.3	11.1	29.4	474	56	12	44	261
6	203	6.65e-05	4.18	6.05	-30	-10	70	-26.5	-8.98	71.1	815	-30	-10	72	370
5	171	0.000282	3.55	6.07	44	-2	62	34.9	-2.69	66.1	706	32	-6	68	354
4	149	0.000803	3.1	4.96	52	20	-10	46.8	18.4	-7.19	416	54	18	-8	238
3	131	0.00196	2.71	5.7	-58	0	40	-57	-2.01	38.3	551	-58	0	40	264
2	122	0.00312	2.51	5.67	-50	-24	14	-49	-24.7	15.2	377	-54	-22	12	250
1	82	0.0282	1.55	3.95	6	-74	-26	6.9	-75.3	-24.1	274	0	-84	-28	194
