Cluster Index	Z	x	y	z	
20	7.85	-32	-20	68
20	7.31	-26	-20	72
20	6.99	-44	-32	64
20	6.94	-38	-28	66
20	6.68	-26	-14	76
20	6.66	-32	-8	64
19	7.03	46	-72	-4
19	6.76	50	-76	-6
19	5.68	24	-40	-24
19	5.04	24	-36	-28
19	4.69	50	-62	-6
19	4.65	48	-58	-18
18	7.32	-52	-74	-2
18	6.38	-34	-92	4
18	6.33	-42	-84	-2
18	6.03	-44	-74	-12
18	5.14	-36	-68	-10
18	4.82	-32	-94	-4
17	6.13	0	-4	56
17	5.4	0	-8	62
17	4.89	-2	-8	72
17	4.57	14	8	70
17	4.33	6	2	58
17	3.19	8	2	68
16	8.11	-50	-44	2
16	4.99	-62	-44	8
16	4.24	-40	-52	18
16	3.8	-50	-54	10
15	5.35	-26	-60	58
15	4.98	-22	-58	48
15	4.75	-18	-62	68
15	4.18	-26	-70	52
15	4.12	-34	-46	48
15	3.88	-22	-52	40
14	5.46	50	8	26
14	5.25	66	10	20
14	5.03	60	-4	24
14	4.18	50	10	16
14	3.52	60	6	26
13	4.9	32	-68	44
13	4.87	30	-74	46
13	4.83	38	-66	24
13	4.22	40	-78	28
13	3.92	30	-64	38
12	4.3	-4	12	32
12	4.13	2	16	36
12	4.1	-10	6	30
12	3.94	12	24	22
12	3.93	0	0	36
12	3.65	-2	8	38
11	5.12	6	-20	24
11	4.8	6	-14	22
11	4.68	2	-32	24
11	4.59	10	-30	22
11	4.39	2	-20	24
10	6.02	32	-52	48
10	4.33	38	-56	52
10	4.01	38	-60	60
10	3.87	22	-48	42
9	5.02	44	-86	4
9	4.51	28	-80	16
9	3.62	36	-84	16
9	3.46	38	-86	12
8	4.73	-6	-18	10
8	4.73	-10	-18	6
8	4.14	-16	-18	-4
8	4.01	-16	-18	10
8	3.81	-16	-24	12
8	3.63	-8	-26	12
7	4.95	-28	-68	24
7	4.84	-22	-68	42
7	4.3	-22	-66	32
6	4.8	-56	-8	18
6	3.42	-60	0	24
5	5.75	46	-56	6
4	5.49	-48	-4	2
3	5.67	-52	-40	24
3	4.68	-52	-36	28
2	5.3	20	-60	-48
2	3.92	12	-60	-48
1	4.14	-20	4	2
1	4	-20	6	-2
1	3.87	-20	10	-8
1	3.43	-24	6	-12
