Cluster Index	Z	x	y	z	
21	8.75	-38	-80	-16
21	8.33	-34	-94	-4
21	7.23	-38	-90	8
21	7.22	-36	-64	-24
21	7.08	-38	-92	4
21	7.04	-18	-90	-10
20	9.1	44	-68	-4
20	8.79	42	-82	-2
20	7.99	50	-72	-6
20	7.94	40	-60	-22
20	7.09	34	-58	-24
20	7.05	54	-60	-12
19	8.09	30	-78	44
19	6.51	36	-58	50
19	6.16	42	-54	58
19	5.74	22	-60	50
19	5.66	30	-74	24
19	5.54	30	-68	34
18	6.89	2	4	54
18	6.65	0	-2	52
18	6.46	2	4	30
18	5.61	-6	-24	42
18	5.52	2	6	48
18	5.47	-2	14	30
17	9.52	-34	-6	62
17	9.43	-34	-10	64
17	8.31	-36	-24	66
17	7.83	-56	-22	48
17	7.76	-30	-18	68
17	7.73	-30	-22	70
16	8.12	-30	-58	62
16	7.77	-32	-58	58
16	5.97	-44	-50	58
16	5.86	-30	-64	52
16	5.41	-38	-44	50
16	4.61	-26	-68	58
15	6.94	24	-8	66
15	6.21	44	0	52
15	5.63	32	0	62
15	5.62	36	0	58
15	5.6	42	12	28
15	4.9	54	18	40
14	5.13	8	-66	-50
14	5.12	18	-64	-56
14	4.84	-8	-64	-52
14	4.71	-12	-68	-44
14	4.53	-8	-68	-50
14	4.24	-2	-72	-48
13	6.85	-56	-16	12
13	6.58	-62	-16	12
13	6.05	-66	-12	10
13	4.47	-66	-18	22
13	3.49	-48	-26	12
12	6.43	50	20	-10
12	3.92	38	10	4
12	3.53	32	12	8
12	3.5	42	14	-2
11	5.57	4	-40	50
11	4.83	10	-36	48
11	4.16	2	-52	60
10	5.71	-56	-64	6
10	4.21	-60	-58	-2
10	3.88	-56	-58	-8
9	6.42	10	-18	6
9	3.47	8	-30	2
8	4.68	-58	-32	12
8	4.55	-58	-48	6
8	4.25	-64	-40	18
8	4.23	-64	-34	16
8	3.4	-60	-44	16
7	4.43	66	-32	20
7	3.73	64	-36	26
7	3.67	56	-30	28
7	3.37	64	-28	26
7	3.28	64	-34	34
6	5.24	16	10	-16
6	4.7	18	10	-8
6	3.54	12	16	-10
5	4.23	42	44	28
5	3.98	46	40	20
5	3.61	40	42	32
5	3.57	40	34	14
5	3.42	46	36	18
5	3.3	50	34	18
4	4.74	-36	-10	-4
4	4.23	-34	-4	-4
4	3.55	-32	-26	-2
3	5.14	-56	8	6
2	4.36	46	54	-2
1	5.97	30	-46	68
