Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
23	4143	1.81e-42	41.7	8.55	-40	-16	66	-40.5	-33.3	50.4	1.21e+03	-40	-16	66	297
22	3053	1.76e-34	33.8	10.7	36	-90	-4	35.9	-75.4	5.47	1.4e+03	36	-92	-4	296
21	2878	4.07e-33	32.4	11.3	-36	-88	-8	-35.5	-75.5	-11.5	1e+03	-40	-84	-20	309
20	2007	7.54e-26	25.1	7.84	58	-44	22	49.2	-42.2	38.4	935	52	-34	60	275
19	1325	2.22e-19	18.7	7.15	4	10	42	-0.276	1.8	42.7	596	4	10	42	262
18	1291	4.95e-19	18.3	6.9	8	-16	4	23.3	-4.01	0.599	524	6	-18	6	223
17	676	4.78e-12	11.3	6.53	58	6	0	50.8	6.94	20.2	672	58	6	0	268
16	599	4.82e-11	10.3	7.34	30	-6	50	27.4	-0.59	55.6	600	16	10	68	285
15	554	1.94e-10	9.71	5.15	-20	-68	-36	-13.6	-74.1	-34.2	361	-18	-80	-22	197
14	454	4.99e-09	8.3	6.61	30	28	26	30	38.7	26.8	479	30	30	24	262
13	419	1.64e-08	7.78	5.67	0	-76	14	0.779	-74.6	9.08	517	-2	-74	12	308
12	397	5.96e-08	7.22	6.66	-8	-18	4	-11.2	-19.2	4.86	470	-8	-18	6	232
11	361	1.19e-07	6.92	6.57	-44	-2	32	-52.3	0.393	30.3	411	-44	0	32	230
10	348	1.79e-07	6.75	5.55	-42	8	-2	-42.1	2.31	-0.0906	455	-48	12	-12	226
9	311	8.34e-07	6.08	6.74	2	-32	24	1.14	-31	24.9	606	2	-32	24	297
8	258	6.56e-06	5.18	4.68	-26	-8	2	-25.3	-3.77	-4.02	308	-24	-4	-14	188
7	238	1.49e-05	4.83	5.9	34	-48	-24	31.1	-48.3	-27	399	34	-48	-24	233
6	158	0.000521	3.28	5.42	16	-74	-24	15.8	-71.2	-20.3	278	18	-74	-24	197
5	154	0.000631	3.2	4.83	-32	36	36	-34.7	33.7	34.7	301	-32	38	38	206
4	152	0.000694	3.16	6.26	-28	26	2	-29.2	25	-0.3	400	-28	26	2	227
3	118	0.00384	2.42	4.38	14	-34	-46	19.5	-42.8	-51.5	244	14	-34	-46	193
2	96	0.0127	1.9	4.32	-10	-52	-42	-10.7	-47.7	-47.4	266	-8	-48	-42	210
1	73	0.0482	1.32	5.56	34	-52	64	31.5	-50.6	65.9	545	32	-50	66	344
