Cluster Index	Z	x	y	z	
12	7.85	-32	-12	68
12	6.74	-38	-14	64
12	6.47	-36	-6	62
12	6.46	-42	-12	58
12	6.39	-38	-14	54
12	6.33	-20	-64	60
11	8.21	-18	-84	-12
11	7.77	-52	-72	0
11	7.62	-42	-88	4
11	6.26	-36	-82	-12
11	6.2	-38	-88	-6
11	5.83	-40	-64	-12
10	7.97	42	-90	8
10	7.55	44	-78	-18
10	6.72	46	-88	-2
10	6.21	46	-68	-6
10	6.09	46	-64	-12
10	5.75	44	-60	-16
9	7.63	24	-68	60
9	6.58	22	-62	44
9	6.5	50	-38	58
9	6.33	38	-40	36
9	6.3	24	-60	40
9	5.82	28	-74	32
8	5.06	32	-4	64
8	5	26	-8	52
8	4.99	22	-4	70
8	4.94	40	4	58
8	4.45	44	2	56
8	3.97	32	0	46
7	5.05	-8	-4	52
7	4.75	4	10	54
7	4.53	-2	2	46
7	4.19	-4	16	42
7	4.14	-2	4	54
7	3.28	-8	8	44
6	5.81	46	12	24
6	5.3	40	8	22
6	5.24	36	8	26
6	4.88	46	4	34
6	4.11	48	12	38
5	5.19	-32	22	4
4	4.4	-40	4	36
4	4.31	-38	6	32
4	4.18	-38	4	28
4	3.65	-28	12	30
3	6.38	-54	6	18
2	4.54	-54	-54	6
2	3.78	-60	-48	14
1	4.3	-42	-4	10
1	4.28	-44	-2	6
1	4.15	-50	6	-2
