Cluster Index	Z	x	y	z	
14	6.9	-38	-88	-12
14	5.58	-30	-86	20
14	5.56	-24	-98	2
14	5.28	-26	-96	-8
14	4.89	-28	-92	8
14	4.84	-38	-60	-10
13	5.98	38	-88	-10
13	5.65	26	-92	-2
13	5.19	38	-94	-2
13	5.12	38	-60	-16
13	5.08	38	-56	-14
13	4.94	20	-50	-22
12	6.13	6	4	48
12	5.22	-6	10	46
12	4.89	6	20	24
12	4.62	-10	6	32
12	4.56	8	8	32
12	4.41	0	10	40
11	5.57	-44	-28	48
11	4.57	-44	-36	50
11	4.55	-34	-30	46
11	4.44	-40	-30	56
11	4.34	-50	-22	56
11	3.87	-46	-32	40
10	4.39	36	-2	46
10	4.35	56	6	42
10	4.28	38	-2	54
10	4.28	42	-2	54
10	4.23	34	-2	40
10	4.23	52	12	34
9	6.34	-38	-4	48
9	4.42	-26	-8	46
8	4.64	-14	8	-8
8	4.21	-22	4	4
8	3.84	-10	4	-16
8	3.79	-26	-2	-6
8	3.79	-26	2	-4
8	3.64	-10	12	-14
7	5.05	12	-76	20
7	4.13	22	-68	12
7	4.07	20	-70	8
7	3.87	10	-64	14
6	5.07	32	-80	22
6	4.55	32	-90	22
6	4.13	26	-94	12
6	3.85	24	-90	8
5	4.7	32	-56	52
5	3.97	28	-66	54
5	3.73	26	-50	52
5	3.26	32	-60	58
4	4.84	-10	-18	0
4	4.02	-8	-20	6
4	3.89	-12	-12	6
4	3.31	-16	-14	10
3	4.66	26	-70	38
3	4.3	26	-64	40
2	4.2	54	-24	54
2	3.8	44	-32	46
2	3.75	48	-28	48
2	3.45	54	-24	42
1	3.91	-40	-22	60
1	3.82	-34	-18	54
1	3.6	-36	-16	44
