Cluster Index	Z	x	y	z	
21	7.7	-38	-86	-8
21	6.4	-30	-94	-20
21	6.2	-28	-90	12
21	6.12	-46	-70	-12
21	6.04	-44	-78	-10
21	6.03	-18	-104	-6
20	7.41	26	-96	-8
20	6.26	10	-104	4
20	5.92	48	-64	-2
20	5.65	42	-78	-8
20	5.57	32	-94	-10
20	5.5	42	-72	0
19	6.56	-30	-40	42
19	5.79	-48	-32	44
19	5.56	-42	-30	34
19	5.23	-34	-48	42
19	5.2	-40	-32	38
19	5.18	-42	-36	44
18	5.65	30	-54	52
18	5	50	-32	46
18	4.53	44	-44	54
18	3.54	36	-52	60
17	4.42	-38	6	4
17	4.36	-40	14	-4
17	4.17	-38	2	4
17	4.11	-38	4	-2
17	3.61	-50	8	2
16	6.26	-18	-68	44
16	4.45	-26	-70	36
16	3.23	-10	-68	36
15	5.32	10	22	30
15	4.5	-6	26	28
15	4.22	2	32	30
15	4.04	4	22	40
15	3.97	-2	20	30
14	5.05	36	18	2
14	4.74	46	8	-6
13	5.4	-12	-20	10
13	4.95	-8	-18	0
13	4.41	-12	-12	8
12	5.12	8	-20	6
12	4.82	8	-24	4
12	4.25	14	-16	10
12	3.64	14	-8	4
11	4.32	-4	-84	2
11	3.89	-8	-80	6
10	4.79	-2	10	52
10	4.78	-4	4	54
10	4.55	2	20	50
10	4.02	-2	6	62
10	3.12	2	24	58
9	4.36	46	0	28
9	3.93	58	10	34
9	3.7	52	2	32
9	3.39	56	6	44
8	4.87	-56	12	40
8	4.01	-48	2	38
7	5.2	16	-62	54
6	4.47	34	-50	-54
6	4	22	-58	-52
6	3.21	26	-60	-62
5	4.28	36	4	54
5	3.92	46	2	56
4	4.3	-38	-18	68
4	4.03	-48	-10	56
4	3.24	-50	-4	54
3	4.22	66	-4	6
3	4.02	62	2	10
3	3.86	58	8	10
3	3.53	52	6	10
2	4.13	0	-26	26
1	4.88	-24	-6	46
