Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	2715	8.07e-32	31.1	8.63	-38	-30	52	-40.8	-31.6	45.6	678	-48	-42	54	279
12	1750	1.63e-23	22.8	7.06	38	-72	18	38.6	-50.4	37	550	40	-74	18	252
11	944	2.82e-15	14.5	7.77	-46	-68	-14	-42	-71.5	-9.49	513	-40	-86	-2	250
10	873	1.87e-14	13.7	6.57	42	-62	-6	44.3	-60.4	-16	420	50	-68	-24	234
9	403	2.86e-08	7.54	5.99	-6	-18	54	-3.72	-9.99	54.8	402	0	-14	68	244
8	283	2.44e-06	5.61	7.41	-30	-80	16	-28.1	-77.8	20.1	581	-30	-80	16	258
7	280	2.74e-06	5.56	6.26	-62	0	34	-55.8	1.12	33	563	-62	-2	36	310
6	213	4.3e-05	4.37	5.07	30	18	-4	33.2	21.2	-2.79	361	34	26	-2	220
5	162	0.00043	3.37	4.61	-18	-68	48	-16.1	-69.2	46.9	425	-12	-74	46	264
4	121	0.00329	2.48	4.13	-34	20	8	-37.7	17.3	-0.684	339	-50	12	-4	240
3	111	0.00557	2.25	5.62	60	12	36	57.3	11.8	34.7	443	60	12	36	274
2	94	0.0142	1.85	4.48	24	-92	-6	22.7	-91.6	-0.607	268	24	-92	-6	180
1	77	0.0379	1.42	4.16	6	30	30	5.77	26	30.1	322	6	30	30	242
