Cluster Index	Z	x	y	z	
13	8.63	-38	-30	52
13	6.91	-30	-46	36
13	6.55	-44	-22	48
13	6.28	-34	-52	48
13	6.24	-44	-40	44
13	6.15	-58	-24	38
12	7.06	38	-72	18
12	6.91	44	-38	46
12	6.49	34	-64	24
12	6.36	44	-34	36
12	6.2	30	-60	28
12	6	36	-52	50
11	7.77	-46	-68	-14
11	7.64	-40	-84	-4
11	6.74	-40	-74	-10
11	6.58	-46	-78	-14
11	5.23	-32	-50	-24
11	5.23	-42	-58	-12
10	6.57	42	-62	-6
10	5.68	36	-50	-26
10	5.59	48	-66	-20
10	5.29	42	-64	-16
10	5.24	48	-74	-2
10	4.51	46	-48	-24
9	5.99	-6	-18	54
9	5	-4	-14	64
9	4.97	-2	-14	68
9	4.17	0	2	52
9	4.11	-6	6	46
9	4.11	0	-2	44
8	7.41	-30	-80	16
8	5.81	-26	-70	24
8	5.11	-24	-78	26
7	6.26	-62	0	34
6	5.07	30	18	-4
6	5.05	34	24	-2
6	4.51	34	20	-10
5	4.61	-18	-68	48
5	4.55	-10	-72	46
5	4.36	-16	-66	44
5	3.42	-28	-64	52
4	4.13	-34	20	8
4	3.82	-48	12	-4
4	3.63	-34	16	-4
4	3.45	-40	18	-4
4	3.42	-32	20	-4
4	3.41	-40	20	0
3	5.62	60	12	36
3	3.66	54	14	30
2	4.48	24	-92	-6
2	4.45	22	-92	0
2	3.56	22	-96	8
1	4.16	6	30	30
1	3.5	4	18	26
