Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	11485	0	84	10.6	-22	-58	56	-6.23	-39.2	42.7	1.28e+03	-36	-22	66	305
12	8165	0	66.5	8.76	-32	-72	-8	2.31	-69.6	-15	1.13e+03	-40	-56	-24	271
11	5999	0	53.9	7.37	0	4	48	4.17	1.53	32.4	1.09e+03	38	4	58	306
10	604	4.13e-11	10.4	6.27	26	-56	-54	21.4	-62.4	-54.1	321	26	-56	-54	192
9	579	8.91e-11	10	5.38	50	16	-6	38.5	16	-6.17	592	50	16	-10	259
8	574	1.04e-10	9.98	5.8	-52	14	-4	-36.5	3.93	1.8	691	-52	14	-6	234
7	450	5.71e-09	8.24	6.84	-52	-46	24	-50.1	-48	11.2	453	-58	-46	18	257
6	430	1.13e-08	7.95	6.51	44	6	22	49.1	4.68	18.8	617	50	6	32	275
5	335	3.58e-07	6.45	5.72	-30	46	28	-28.3	49.8	19.7	385	-30	46	28	214
4	247	1.03e-05	4.99	4.59	42	44	6	38.4	45.4	16.8	379	36	46	28	246
3	244	1.16e-05	4.93	4.85	4	-68	-50	-5.46	-63.1	-47	373	4	-68	-50	211
2	180	0.000186	3.73	5.1	-48	32	20	-46.7	30	23.2	346	-48	26	26	251
1	158	0.000521	3.28	4.86	-28	-70	-56	-26.2	-67	-55	231	-28	-70	-56	175
