Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
21	3547	3.34e-38	37.5	8.75	-38	-80	-16	-30.7	-74.1	-10.1	765	-18	-84	-18	251
20	3134	4.18e-35	34.4	9.1	44	-68	-4	35.4	-71.2	-12.2	597	40	-60	-22	231
19	1451	1.2e-20	19.9	8.09	30	-78	44	33.2	-61.2	42.7	656	30	-78	44	249
18	1447	1.32e-20	19.9	6.89	2	4	54	-0.0756	-2.29	41	851	2	6	32	287
17	1286	5.58e-19	18.3	9.52	-34	-6	62	-41.1	-14.2	57.7	812	-34	-6	62	282
16	868	2.14e-14	13.7	8.12	-30	-58	62	-29.5	-56.1	56.4	870	-32	-58	62	296
15	746	6.31e-13	12.2	6.94	24	-8	66	40.3	4.67	43.3	560	24	-8	66	245
14	335	3.58e-07	6.45	5.13	8	-66	-50	6.51	-67.6	-50.3	375	8	-66	-50	193
13	227	2.37e-05	4.63	6.85	-56	-16	12	-58.7	-15.3	13.4	663	-62	-12	10	312
12	189	0.000124	3.91	6.43	50	20	-10	46.4	18.6	-6.06	760	52	20	-10	327
11	185	0.000148	3.83	5.57	4	-40	50	5.94	-41.1	50.2	420	4	-42	50	252
10	146	0.00093	3.03	5.71	-56	-64	6	-55.3	-59.5	4.22	333	-54	-58	8	219
9	130	0.00207	2.68	6.42	10	-18	6	11.4	-17.8	4.69	333	8	-18	6	208
8	128	0.00229	2.64	4.68	-58	-32	12	-59.1	-40.5	11.5	288	-64	-40	18	200
7	105	0.0077	2.11	4.43	66	-32	20	63	-34.1	21.6	321	66	-32	20	208
6	103	0.00859	2.07	5.24	16	10	-16	17.3	10.5	-12.1	284	16	8	-16	195
5	101	0.00959	2.02	4.23	42	44	28	43.1	41.4	22.1	308	42	44	28	211
4	95	0.0134	1.87	4.74	-36	-10	-4	-36.1	-9.8	-4.82	458	-40	-12	-4	234
3	92	0.0159	1.8	5.14	-56	8	6	-55.2	6.53	7.97	481	-58	8	6	261
2	81	0.0299	1.52	4.36	46	54	-2	47.7	50.7	0.534	339	46	54	4	257
1	75	0.0428	1.37	5.97	30	-46	68	29.9	-45.5	68.3	823	30	-44	68	411
