Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	2213	1.19e-27	26.9	5.8	-32	-54	40	-32.6	-42.9	54.2	583	-16	-18	76	272
18	2195	1.7e-27	26.8	7.97	52	-70	-2	40.6	-71.5	-12.9	618	52	-70	-2	239
17	1581	6.48e-22	21.2	7.21	-50	-76	-10	-39.7	-83.4	-7.85	524	-36	-88	-20	245
16	1275	7.24e-19	18.1	6.85	32	-56	66	42.9	-47.5	41.6	913	32	-54	66	274
15	737	8.16e-13	12.1	5.2	22	-62	40	20	-70.9	40	523	12	-78	48	246
14	667	6.23e-12	11.2	6.56	50	14	26	47.9	13.4	25.7	533	50	14	26	270
13	596	5.28e-11	10.3	4.98	-2	-2	58	3.06	4.98	47.7	418	0	-2	48	263
12	492	1.42e-09	8.85	6.15	-20	-64	30	-24.7	-75.5	24.8	458	-20	-66	30	233
11	204	6.37e-05	4.2	4.21	30	-8	48	35.6	-4.82	53.2	426	44	-4	60	234
10	145	0.000977	3.01	4.72	-38	-58	-24	-33.2	-55.4	-25.1	434	-36	-52	-28	225
9	133	0.00178	2.75	3.96	32	16	-6	37.6	19	-3.37	318	42	20	-8	208
8	130	0.00207	2.68	5.63	-62	-20	28	-58.5	-21.1	27.8	489	-62	-20	28	266
7	119	0.00365	2.44	5.09	-50	8	38	-50.2	6.44	35.6	437	-50	12	36	244
6	117	0.00405	2.39	4.96	14	-6	78	5.54	-21.2	77.1	517	4	-10	76	329
5	116	0.00427	2.37	5.21	4	-38	24	0.842	-37.8	23.7	334	4	-38	24	225
4	96	0.0127	1.9	4.73	38	-80	18	40.1	-79.7	19.6	343	42	-76	26	214
3	87	0.0211	1.68	4.99	-18	6	22	-19.2	8.5	21	309	-16	4	22	187
2	84	0.0251	1.6	4.62	26	54	-14	24	56.4	-12.5	292	22	60	-16	211
1	79	0.0337	1.47	5.15	48	-24	-8	49	-24.8	-8.07	327	48	-24	-8	223
