Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	3636	7.45e-39	38.1	7.85	-32	-12	68	-35.8	-28.7	53.4	1.1e+03	-32	-12	68	274
11	2005	7.85e-26	25.1	8.21	-18	-84	-12	-39	-77.7	-4.62	688	-18	-84	-12	257
10	1581	6.48e-22	21.2	7.97	42	-90	8	39.2	-74.3	-10.6	676	44	-80	-18	236
9	1461	9.58e-21	20	7.63	24	-68	60	28.1	-56.3	49.5	736	12	-72	56	277
8	405	2.67e-08	7.57	5.06	32	-4	64	31.9	-2.11	58	568	22	-4	70	257
7	329	4.17e-07	6.38	5.05	-8	-4	52	-2.15	4.4	49.8	471	-6	-4	52	242
6	286	2.15e-06	5.67	5.81	46	12	24	43.7	7.25	28.1	373	46	12	24	241
5	109	0.0062	2.21	5.19	-32	22	4	-32.9	19.6	6.5	314	-32	22	4	209
4	92	0.0159	1.8	4.4	-40	4	36	-38.7	5.24	33.3	334	-36	6	32	245
3	91	0.0168	1.77	6.38	-54	6	18	-52.6	6.46	20.7	378	-54	6	18	241
2	78	0.0358	1.45	4.54	-54	-54	6	-55.1	-53	8.06	263	-54	-56	6	202
1	76	0.0403	1.4	4.3	-42	-4	10	-45.5	1.23	3.64	343	-50	10	-6	213
