Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	1271	7.97e-19	18.1	7.54	34	-84	22	34.9	-71.6	27.6	686	38	-46	38	271
15	770	3.2e-13	12.5	6.63	-28	-76	22	-29.5	-76.1	32.1	535	-28	-72	40	281
14	656	8.63e-12	11.1	6.47	18	-88	-10	0.881	-91.3	-12.7	352	18	-88	-10	225
13	651	1e-11	11	6.05	6	14	46	1.2	2.41	52.8	663	4	14	46	327
12	467	3.23e-09	8.49	6.26	-58	-24	30	-46.6	-33.6	37.9	508	-58	-24	30	263
11	412	2.09e-08	7.68	6.71	-44	-66	0	-43.8	-67.4	-6.27	444	-44	-66	0	238
10	393	5.96e-08	7.22	5.71	36	24	0	43.3	20.6	-0.985	540	38	26	-2	282
9	390	5.96e-08	7.22	7.76	58	12	26	55.2	13.5	25	707	58	14	26	320
8	339	2.98e-07	6.53	7.51	-22	-94	8	-30.4	-92.2	2.64	462	-38	-90	-4	245
7	217	3.62e-05	4.44	8.22	-58	2	38	-56.1	2.12	36.9	859	-58	2	38	348
6	201	7.27e-05	4.14	5.17	-36	18	4	-34.7	20.4	-1.34	413	-36	18	4	232
5	154	0.000631	3.2	4.68	36	-46	-32	26.7	-48.4	-29.6	253	36	-46	-32	186
4	138	0.00138	2.86	5.16	-28	-8	54	-27.3	-7	50.6	401	-28	-10	56	240
3	133	0.00178	2.75	4.66	-16	-18	10	-12.3	-18.8	6.25	265	-16	-16	10	213
2	131	0.00196	2.71	5.17	-40	-22	64	-39.5	-23	61.9	676	-42	-26	66	318
1	75	0.0428	1.37	4.58	40	-72	-16	41.9	-68.6	-17.5	335	40	-70	-22	211
