Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
22	2013	6.67e-26	25.2	7.07	-48	-26	36	-47.6	-27.3	37	753	-42	-20	64	259
21	1941	2.93e-25	24.5	8.94	-46	-80	2	-41.9	-73.1	-2.41	666	-42	-86	2	281
20	1560	1.03e-21	21	8.54	36	-84	6	39	-79.8	2.91	551	36	-84	6	256
19	473	2.65e-09	8.58	6.36	-10	-18	4	-4.38	-18.3	4.52	524	-10	-18	4	279
18	382	5.96e-08	7.22	6.03	14	-70	46	25.6	-64.3	36.5	528	14	-70	46	239
17	342	2.38e-07	6.62	5.23	64	-28	14	63	-32.9	16.5	467	66	-22	4	249
16	340	2.98e-07	6.53	4.89	8	12	36	-0.716	3.12	40	375	6	12	36	239
15	322	5.36e-07	6.27	5.75	-54	2	2	-49.2	7.96	5.82	465	-34	16	6	243
14	289	1.91e-06	5.72	5.76	14	-64	-52	15.8	-64.7	-48.6	339	14	-64	-52	210
13	285	2.21e-06	5.66	4.66	32	-62	-18	22.5	-58.6	-19.2	290	30	-72	-18	195
12	282	2.5e-06	5.6	5.44	52	-20	30	58.3	-18.8	33.9	404	62	-8	34	233
11	243	1.21e-05	4.92	7.21	-56	4	34	-50.5	2.89	30.8	599	-56	4	34	260
10	200	7.59e-05	4.12	4.66	42	4	28	52.2	6.32	12.4	465	52	14	-4	256
9	154	0.000631	3.2	4.56	-22	-64	8	-17.9	-62.3	4.89	363	-16	-70	8	245
8	142	0.00113	2.95	5.36	-22	-88	-4	-19.8	-89.3	-4.73	350	-18	-88	-8	237
7	111	0.00557	2.25	4.01	-22	-72	-52	-16.8	-69.2	-50.3	242	-6	-76	-48	192
6	108	0.00655	2.18	4.91	26	-48	-2	26.1	-53.2	3.12	344	26	-48	-2	234
5	105	0.0077	2.11	4.87	-24	-8	46	-23.4	-7.12	48.9	284	-26	-6	54	211
4	103	0.00859	2.07	4.98	28	60	20	29.2	58	20.5	512	28	60	20	336
3	89	0.0188	1.73	4.77	40	-40	46	39.7	-40.1	46.2	335	42	-40	46	222
2	80	0.0318	1.5	4.29	-36	62	8	-37.9	61.2	4.86	369	-36	62	8	268
1	76	0.0403	1.4	4.95	28	-2	46	29.6	-0.822	47.1	279	32	2	46	217
