Cluster Index	Z	x	y	z	
20	8.15	34	-82	-26
20	7.94	46	-64	-18
20	6.8	42	-80	-8
20	6.71	52	-58	-18
20	6.67	54	-68	-12
20	6.66	38	-60	-18
19	7.82	-42	-80	0
19	7.61	-42	-80	-24
19	7.36	-46	-82	-10
19	6.72	-52	-76	-16
19	6.7	-54	-60	-12
19	6.64	-52	-58	-16
18	6.34	-34	-64	50
18	6.28	-34	-62	46
18	6.11	-28	-68	56
18	6.07	-30	-46	36
18	5.57	-30	-58	40
18	5.49	-48	-44	44
17	6.62	32	-48	38
17	5.67	30	-60	38
17	5.42	28	-70	24
17	5.37	28	-58	34
17	5.12	34	-58	44
17	4.74	34	-58	52
16	6.04	-50	-6	4
16	5.97	-36	-6	32
16	5.8	-52	0	18
16	4.99	-40	-2	24
16	4.9	-54	2	2
16	4.88	-36	2	22
15	5.47	42	-4	58
15	5.34	36	-6	64
15	5.24	56	-6	36
15	5.07	46	2	24
15	4.86	52	-2	40
15	4.17	32	-8	54
14	6.36	10	2	44
14	5.02	0	6	42
14	4.5	0	-4	56
14	4.45	-6	14	32
14	4.41	-10	10	32
14	4.37	-2	-2	52
13	5.46	-8	-16	6
13	5.01	10	-16	6
13	4.59	-10	-24	6
13	4.19	16	-12	-4
13	4.13	-12	-16	-4
12	5.83	-32	-10	66
12	5.43	-38	-10	62
12	4.88	-20	-6	72
12	3.92	-6	-10	62
12	3.78	-10	-4	66
12	3.64	-6	-6	70
11	6.14	-56	-28	14
11	6.07	-54	-26	18
11	5.85	-60	-22	18
11	5.15	-58	-32	34
11	4.42	-60	-32	42
11	4.1	-60	-34	48
10	5.2	18	-60	-52
10	4.28	4	-74	-46
10	4.26	26	-44	-58
10	4.23	6	-68	-48
10	4.15	12	-64	-48
10	3.9	26	-50	-52
9	4.4	-22	56	-14
9	4.38	-20	54	-18
9	4.3	-28	60	-10
9	4.08	-28	58	-18
9	3.86	-38	56	-18
9	3.42	-38	58	-10
8	4.43	-62	-48	30
8	4.26	-52	-54	30
8	3.84	-52	-44	24
7	4.7	0	-78	-24
7	4.69	0	-78	-32
7	3.47	-10	-88	-28
6	4.33	-30	14	4
6	4.02	-40	14	2
6	3.76	-30	26	2
6	3.7	-36	22	6
5	4.93	40	14	-4
5	4	54	12	-8
4	6.15	-34	-88	14
3	4.11	62	-48	10
3	4.02	62	-44	16
3	3.75	58	-34	14
3	3.6	56	-48	16
3	3.33	56	-44	10
2	4.71	16	0	72
2	4.7	22	2	68
1	4.68	56	-24	28
1	4.2	60	-20	22
1	3.76	60	-24	18
