Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
21	2173	2.64e-27	26.6	7.7	-38	-86	-8	-35.4	-80.9	-7.37	473	-30	-94	-20	237
20	2047	3.33e-26	25.5	7.41	26	-96	-8	33.6	-80	-6.52	882	26	-96	-8	249
19	1285	5.71e-19	18.2	6.56	-30	-40	42	-42.4	-38.9	45.1	603	-40	-48	62	263
18	404	2.77e-08	7.56	5.65	30	-54	52	38.6	-46.2	50.9	367	30	-54	52	227
17	342	2.38e-07	6.62	4.42	-38	6	4	-39.6	9.34	-1.47	454	-46	14	-8	255
16	294	1.55e-06	5.81	6.26	-18	-68	44	-18.8	-68.3	42.2	953	-16	-72	50	301
15	285	2.21e-06	5.66	5.32	10	22	30	3.51	26	31.6	457	2	34	30	273
14	260	6.02e-06	5.22	5.05	36	18	2	40.7	13.6	-1.31	388	40	22	0	261
13	248	9.83e-06	5.01	5.4	-12	-20	10	-9.8	-19	5.43	378	-6	-20	2	250
12	175	0.000234	3.63	5.12	8	-20	6	10.9	-16.5	5.11	565	8	-20	6	280
11	153	0.000662	3.18	4.32	-4	-84	2	-5.51	-82.4	3.26	587	-4	-84	2	351
10	142	0.00113	2.95	4.79	-2	10	52	-1.54	10.3	52.9	445	-2	10	52	279
9	128	0.00229	2.64	4.36	46	0	28	51.3	3.78	31.3	464	58	10	34	257
8	119	0.00365	2.44	4.87	-56	12	40	-48.5	5.14	38.8	457	-52	8	42	254
7	116	0.00427	2.37	5.2	16	-62	54	13.3	-63.5	53.7	454	16	-64	54	290
6	115	0.0045	2.35	4.47	34	-50	-54	29.2	-52.5	-53.7	252	34	-46	-54	182
5	109	0.0062	2.21	4.28	36	4	54	35.5	1.81	50.9	537	38	4	60	267
4	106	0.0073	2.14	4.3	-38	-18	68	-41.2	-15.3	63.6	553	-40	-16	68	347
3	100	0.0101	1.99	4.22	66	-4	6	59.8	2.85	9.34	405	62	2	10	286
2	99	0.0107	1.97	4.13	0	-26	26	0.292	-25.1	25.9	475	0	-24	28	318
1	73	0.0482	1.32	4.88	-24	-6	46	-24.9	-4.6	48.3	367	-26	-6	46	227
