Cluster Index	Z	x	y	z	
7	9.33	38	-86	16
7	8.99	34	-94	6
7	8.97	28	-90	8
7	8.95	42	-82	-10
7	7.97	12	-88	-6
7	7.52	50	-72	10
6	8.55	-28	-94	2
6	7.99	-32	-86	18
6	7.87	-38	-20	46
6	7.7	-32	-92	20
6	7.7	-28	-58	60
6	7.53	-58	-22	42
5	7.85	2	-2	52
5	7.84	8	-8	54
5	7.12	-8	-2	42
5	6.75	-2	-4	48
5	5.79	6	0	70
5	5.55	-4	12	46
4	6.59	-26	-62	-4
4	6.59	-26	-62	-8
4	5.56	-26	-62	-18
4	5.44	-30	-74	-8
3	5.8	26	-4	48
2	5.03	-46	12	-4
2	4.96	-42	2	2
2	3.48	-38	14	0
1	5.11	-64	-10	8
1	3.97	-52	-16	10
1	3.86	-52	-20	12
1	3.8	-58	-22	8
