Cluster Index	Z	x	y	z	
16	7.54	34	-84	22
16	7.18	32	-82	26
16	6.86	40	-90	-4
16	6.75	38	-46	38
16	6.73	32	-56	44
16	5.8	40	-54	38
15	6.63	-28	-76	22
15	6.37	-24	-88	24
15	6.12	-28	-72	40
15	6.04	-22	-82	20
15	5.68	-30	-82	26
15	5.6	-30	-86	28
14	6.47	18	-88	-10
14	5.7	-10	-94	-12
14	5.18	-2	-90	-14
14	5.11	14	-92	-4
14	4.84	-22	-90	-24
14	4.68	-18	-92	-14
13	6.05	6	14	46
13	5.72	0	-4	52
13	5.53	-6	-10	52
13	5.53	0	0	50
13	5.5	0	-4	56
13	4.82	2	-6	64
12	6.26	-58	-24	30
12	6.19	-42	-34	36
12	5.47	-38	-38	48
12	4.66	-42	-40	44
12	4.46	-46	-48	54
12	4.32	-50	-44	56
11	6.71	-44	-66	0
11	6.69	-46	-68	-4
11	4.85	-42	-68	-18
11	4.03	-50	-70	8
10	5.71	36	24	0
10	4.36	54	16	-10
10	4.16	42	12	-2
10	3.18	38	8	-6
9	7.76	58	12	26
9	4.63	48	6	22
9	4.52	58	24	24
9	4.04	52	26	18
9	3.72	44	30	20
9	3.59	46	26	18
8	7.51	-22	-94	8
8	7.01	-36	-90	-4
8	4.55	-38	-86	8
7	8.22	-58	2	38
6	5.17	-36	18	4
6	4.44	-30	30	-4
6	4.27	-34	24	-10
6	3.66	-36	8	0
6	3.64	-36	12	12
5	4.68	36	-46	-32
5	4.6	22	-50	-30
5	3.37	14	-50	-20
5	3.29	36	-48	-40
4	5.16	-28	-8	54
4	4.88	-28	-4	48
4	3.32	-20	-8	50
4	3.19	-24	-14	50
3	4.66	-16	-18	10
3	4.3	-12	-22	8
3	3.53	-10	-6	4
3	3.38	-6	-12	2
2	5.17	-40	-22	64
2	4.81	-38	-22	58
1	4.58	40	-72	-16
1	4.49	40	-68	-18
1	4.26	46	-64	-16
