Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	7921	0	63.4	8.42	44	-58	-8	40.1	-58.3	5.85	767	56	-68	-12	248
17	4387	6.17e-43	42.2	7.94	-46	-66	14	-41.8	-71.6	1.17	811	-52	-72	-8	277
16	2979	5.71e-33	32.2	6.73	-42	-12	54	-43.5	-14.3	44.6	630	-34	-28	70	232
15	2930	1.35e-32	31.9	8.57	-52	-20	8	-30.1	-6.64	1.44	679	-10	-36	-6	231
14	2393	2.27e-28	27.6	7.14	8	22	36	0.366	8	38.6	808	6	22	36	254
13	2149	2.4e-26	25.6	7.79	12	-14	4	28.7	4.97	-1.41	981	58	12	-10	268
12	1489	1.95e-20	19.7	7.12	36	12	60	40.1	9.3	45.7	859	36	12	60	257
11	757	1.07e-12	12	6.2	-24	-58	40	-25.7	-61.8	39.7	433	-30	-66	34	254
10	262	8.29e-06	5.08	4.47	-16	-70	0	-10.6	-70.1	0.6	591	0	-76	-4	303
9	161	0.000593	3.23	4.65	52	-38	-6	57.5	-33.6	-4.82	489	68	-24	-4	289
8	150	0.000991	3	5.95	-18	-44	-52	-10.5	-41.6	-51.3	323	-18	-44	-52	193
7	135	0.00204	2.69	5.24	44	2	10	41	0.679	8.86	283	44	2	10	182
6	112	0.00648	2.19	4.53	-16	-58	-40	-6.65	-55.7	-43.6	253	0	-50	-44	188
5	110	0.00719	2.14	4.84	-30	-8	-48	-30.3	-7.21	-45.2	371	-28	-8	-48	208
4	95	0.016	1.8	4.61	30	-24	-2	31.1	-22.5	-0.817	253	30	-22	0	192
3	92	0.0189	1.72	5.15	18	-28	-10	18.2	-30.8	-8.86	763	10	-36	-6	345
2	92	0.0189	1.72	4.38	-30	-58	-54	-27.2	-58.7	-56.8	202	-24	-60	-58	168
1	86	0.0263	1.58	3.92	-10	-40	56	-8.27	-43.8	54.2	297	-12	-40	56	198
