Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	8540	0	66.7	9.01	36	-2	64	27	-8.72	34.5	1.05e+03	36	-2	64	241
11	7984	0	63.7	10.6	-28	-96	-2	-35.8	-52.4	20.3	925	-42	-80	-18	256
10	3596	1.7e-37	36.8	10.3	46	-72	-10	22	-66.1	-16.6	856	38	-78	-18	243
9	1145	5.19e-17	16.3	6.86	-14	-6	12	-23.8	-6.93	2.14	719	-10	-8	12	199
8	1117	1.02e-16	16	8	34	-64	54	30.2	-70.4	38.2	796	34	-64	54	274
7	459	7.62e-09	8.12	6.91	14	-66	6	1.13	-71.2	8.19	506	0	-66	6	230
6	263	7.93e-06	5.1	5.89	32	-28	74	29.1	-29.6	61.9	440	32	-28	74	214
5	253	1.18e-05	4.93	6.13	-56	-60	8	-56.6	-54.2	8.93	401	-64	-44	12	236
4	207	7.77e-05	4.11	8.85	-48	-26	20	-49.2	-27.4	17.4	509	-48	-26	20	258
3	157	0.000714	3.15	4.58	46	38	16	43.4	41.8	21	236	46	38	16	182
2	97	0.0144	1.84	4.78	-12	-34	-6	-11.5	-32.1	-8.19	535	-12	-36	-6	266
1	84	0.0295	1.53	5.56	-44	-44	22	-47.7	-45.8	22.6	363	-50	-48	24	220
