Cluster Index	Z	x	y	z	
16	11	-46	-82	-2
16	10.3	-30	-92	-10
16	9.51	-42	-78	-8
16	9.39	-40	-90	0
16	8.79	32	-54	-18
16	8.67	-40	-84	-12
15	6.54	-30	24	0
15	6.54	-20	8	-2
15	5.98	-50	4	-6
15	5.56	-30	-6	-4
15	5.4	-20	12	2
15	5.3	-50	10	-12
14	6.1	-6	8	48
14	5.08	8	8	38
14	4.7	-2	12	36
14	4.52	10	8	32
14	4.19	8	18	40
14	4.11	2	4	58
13	6.57	-50	-52	12
13	6.09	-58	-44	30
13	4.45	-62	-54	18
13	4.3	-46	-40	24
13	4.08	-62	-50	12
13	4.05	-58	-52	16
12	6.69	-62	-20	20
12	5.36	-52	-30	12
12	5.09	-56	-24	10
12	3.81	-62	-24	6
12	3.78	-62	-28	30
11	5.91	44	6	32
11	5.27	50	10	36
11	5.04	40	4	24
11	5.01	38	6	56
11	4.22	48	6	52
11	3.59	50	10	46
10	6.31	26	6	-4
10	5.86	20	6	-12
10	3.55	22	2	12
10	3.42	24	8	6
10	3.39	26	-8	8
9	6.64	-10	-22	0
9	3.8	-14	-32	2
9	3.76	-30	-22	4
9	3.56	-26	-30	6
8	5.32	-38	0	24
8	5.14	-58	6	14
8	5.11	-56	6	18
8	4.57	-32	-2	30
8	4.11	-56	-2	14
8	3.97	-46	0	20
7	5.05	-32	56	22
7	4.95	-30	52	18
7	4.88	-26	58	26
7	3.57	-22	62	20
6	5.61	38	18	0
6	5.41	32	26	-2
6	3.71	32	30	-12
6	3.53	42	28	-8
5	4.4	62	-34	36
5	4.31	50	-36	26
4	7.29	-4	-4	74
4	3.52	-2	-14	76
3	5.67	54	-44	14
2	3.84	12	-72	-44
2	3.77	2	-72	-38
2	3.59	-6	-74	-34
1	4.77	-2	-12	52
1	4.05	-2	-20	48
