Cluster Index	Z	x	y	z	
12	5.15	52	-66	-4
12	5.04	26	-62	-16
12	5	44	-80	-14
12	4.92	44	-76	-16
12	4.92	34	-60	-16
12	4.87	14	-48	-20
11	5.97	-38	-88	16
11	5.69	-44	-80	-4
11	5.24	-34	-90	-2
11	5.17	-34	-74	-2
11	4.98	-24	-96	14
11	4.94	-32	-92	8
10	5.84	-30	-42	66
10	5.2	-56	-34	54
10	5.19	-50	-28	62
10	5.16	-40	-36	64
10	4.88	-56	-40	56
10	4.45	-46	-36	46
9	6.14	22	-98	12
9	5.52	32	-94	8
9	5.46	40	-88	6
9	5	36	-92	-2
9	4.51	46	-88	-2
9	3.9	38	-82	4
8	5.95	-30	-82	-18
8	4.26	-24	-86	-12
8	4.03	-30	-76	-10
8	3.68	-26	-74	-14
7	5.28	24	-68	58
7	4.35	10	-70	56
7	4.2	14	-70	54
7	3.28	34	-60	56
6	5.3	-28	-76	26
6	4.33	-26	-86	34
5	4.46	34	-50	-50
5	4.24	38	-54	-54
4	4.3	-34	-52	-22
4	4.07	-34	-56	-20
4	3.77	-36	-62	-24
4	3.67	-50	-60	-30
4	3.47	-46	-54	-26
4	3.3	-52	-64	-28
3	4.44	46	-28	38
3	3.5	38	-38	36
2	5.05	-8	-98	2
2	4.85	-10	-100	-2
2	4.17	-10	-94	4
2	3.75	-10	-102	-10
1	5.02	-12	-14	18
1	3.53	-18	-24	18
