Cluster Index	Z	x	y	z	
18	8.42	44	-58	-8
18	7.5	32	-66	48
18	7.34	48	-50	-16
18	7.32	42	-56	8
18	7.28	38	-88	-2
18	7.08	54	-54	-18
17	7.94	-46	-66	14
17	7.73	-50	-72	-8
17	7.7	-48	-70	-4
17	7.67	-44	-88	0
17	7.21	-48	-82	6
17	7.18	-42	-78	0
16	6.73	-42	-12	54
16	6.06	-58	-18	38
16	6.05	-48	-32	48
16	5.75	-46	0	30
16	5.55	-38	-20	42
16	5.18	-48	12	24
15	8.57	-52	-20	8
15	6.31	-12	-16	0
15	6.29	-46	-2	10
15	6.22	-16	4	6
15	5.89	-46	-24	14
15	5.67	-14	-10	12
14	7.14	8	22	36
14	6.17	-2	10	32
14	6	-4	6	44
14	5.95	-8	2	46
14	5.87	6	8	48
14	5.41	10	26	26
13	7.79	12	-14	4
13	6.82	24	10	2
13	6.41	58	12	-10
13	5.97	66	-2	-4
13	5.97	50	14	-10
13	5.5	10	0	6
12	7.12	36	12	60
12	6.09	46	0	46
12	5.48	56	12	34
12	5.21	24	16	62
12	5.15	48	26	18
12	4.86	48	14	48
11	6.2	-24	-58	40
11	6.18	-28	-62	32
11	5.62	-32	-60	36
11	5.02	-24	-66	48
11	4.07	-26	-44	42
11	4.04	-26	-48	40
10	4.47	-16	-70	0
10	4.45	-16	-64	8
10	4.2	-2	-74	2
10	4.08	0	-78	-6
10	4.04	-18	-60	-4
10	3.83	-6	-82	6
9	4.65	52	-38	-6
9	4.49	56	-34	-8
9	4.05	68	-26	-2
9	3.89	68	-34	-4
8	5.95	-18	-44	-52
8	4.33	0	-36	-50
8	3.49	-22	-38	-44
8	3.47	-6	-42	-58
7	5.24	44	2	10
7	3.81	34	-8	10
7	3.29	40	-2	-2
6	4.53	-16	-58	-40
6	4.5	0	-52	-44
5	4.84	-30	-8	-48
5	4.55	-30	-12	-46
5	4.18	-34	-4	-40
4	4.61	30	-24	-2
4	3.64	38	-16	-2
3	5.15	18	-28	-10
3	3.96	24	-24	-12
3	3.75	22	-34	-12
2	4.38	-30	-58	-54
2	4.37	-24	-60	-58
2	3.45	-40	-52	-58
1	3.92	-10	-40	56
1	3.64	-4	-48	50
1	3.6	-10	-46	58
1	3.53	-4	-44	48
