Cluster Index	Z	x	y	z	
9	8.17	42	-82	-10
9	7.99	28	-90	8
9	7.82	38	-86	16
9	7.63	30	-94	6
9	7.47	16	-88	-6
9	7.43	12	-88	-6
8	8.25	-38	-20	46
8	7.59	-58	-22	42
8	6.9	-34	-38	50
8	6.45	-44	-14	48
8	6.28	-38	-56	58
8	6.26	-28	-58	62
7	8.35	-38	-92	-4
7	7.47	-30	-94	2
7	7.13	-28	-80	20
7	7.11	-32	-86	18
7	6.52	-34	-76	-22
7	6.52	-50	-70	-14
6	7.11	44	-44	46
6	6.29	40	-18	44
6	6.28	48	-24	62
6	6.22	60	-22	40
6	5.5	64	-16	48
6	5.43	46	-32	46
5	6.94	24	-66	42
5	6.4	20	-70	54
5	6.15	16	-76	46
5	5.89	30	-56	48
4	7.73	8	-8	54
4	7.14	4	-2	52
4	6.79	-8	-2	42
4	5.84	-2	-4	48
4	5.56	6	8	52
4	5.34	-4	12	46
3	6.52	68	-12	16
3	5.56	70	-26	18
3	4.44	54	-20	20
2	5.34	36	0	66
2	4.72	26	-4	50
2	4.54	30	-2	56
1	5.41	-26	-62	-8
1	5.29	-26	-64	-4
