Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	2975	6.12e-33	32.2	8.31	-38	-80	-16	-30.4	-76	-8.81	695	-18	-84	-18	237
12	2243	3.91e-27	26.4	9.25	44	-68	-4	37	-71.8	-10.6	499	44	-68	-4	214
11	1854	8.58e-24	23.1	8.01	-30	-60	62	-37.7	-36.5	54.2	849	-32	-58	62	266
10	1122	9.03e-17	16	6.89	2	8	28	0.753	1.35	36.5	889	2	6	32	304
9	500	2.05e-09	8.69	5.15	38	10	28	43.7	6.43	40.4	476	32	0	62	232
8	453	9.27e-09	8.03	6.96	38	-54	58	35.2	-52.9	52.4	598	40	-54	58	240
7	385	1.19e-07	6.92	6.93	-62	-16	12	-58.8	-22.1	13	700	-62	-12	10	263
6	334	5.36e-07	6.27	6.77	30	-78	44	30.7	-72.4	32.2	534	30	-78	44	228
5	171	0.000376	3.43	5.43	6	-40	50	5.74	-40.8	50.7	412	4	-44	52	251
4	141	0.00152	2.82	6.3	52	20	-10	48.7	19.8	-7.41	733	52	20	-10	327
3	123	0.00369	2.43	4.54	-36	-10	-4	-36	-10.6	-4.59	391	-40	-10	-4	217
2	97	0.0144	1.84	5.03	-56	8	6	-53.9	6.81	7.71	459	-56	8	6	252
1	85	0.0279	1.55	4.45	56	-26	50	58.4	-28.9	48.7	387	58	-36	50	257
