Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	10119	0	74.9	9.16	-34	-22	64	-7.15	-40.3	43.6	1.25e+03	-36	-22	66	298
13	4097	5.53e-41	40.3	9.15	50	-68	-10	32.8	-69.4	-15.5	907	22	-72	-18	263
12	3282	3.15e-35	34.5	7.21	-32	-72	-8	-35.1	-70.9	-14	945	-40	-56	-24	252
11	2595	5.4e-30	29.3	7.01	-2	4	50	0.357	1.93	42.1	843	12	18	64	325
10	1526	8.66e-21	20.1	5.86	-12	-16	4	-12	-0.413	2.47	611	-52	14	-6	223
9	546	4.88e-10	9.31	5.69	24	-64	-56	20.4	-63.8	-53.1	284	24	-64	-56	186
8	539	6.06e-10	9.22	6.36	38	2	58	36.5	1.38	54.8	956	38	4	58	307
7	529	8.25e-10	9.08	7.06	-46	-50	4	-49.5	-48	12.2	453	-58	-46	18	249
6	472	5e-09	8.3	6.59	-56	4	24	-56.2	1.59	21.3	411	-54	6	22	223
5	305	1.61e-06	5.79	6.18	38	-4	10	42.7	7.38	-1.06	533	50	16	-10	260
4	245	1.62e-05	4.79	6.17	54	2	4	54.5	4.76	9.39	422	56	4	4	244
3	176	0.0003	3.52	4.25	36	48	18	36.7	45.7	17.1	318	38	48	18	224
2	130	0.0026	2.58	4.82	-50	30	18	-46.7	29.9	22.4	305	-52	30	18	231
1	108	0.00799	2.1	5.2	-30	44	24	-31.8	43.3	25.5	323	-30	46	28	216
