Cluster Index	Z	x	y	z	
8	8.21	-36	-30	52
8	6.09	-30	-50	38
8	6.06	-44	-22	48
8	5.67	-46	-38	38
8	5.62	-60	-24	36
8	5.55	-44	-40	42
7	6.35	-44	-64	-10
7	6.29	-38	-86	-2
7	6.17	-46	-76	-16
7	5.64	-40	-72	-12
7	5.45	-40	-70	2
7	5.33	-42	-58	-12
6	5.49	48	-74	-2
6	5.3	36	-52	-26
6	5.18	48	-70	-4
6	5.16	46	-64	-6
6	4.95	40	-50	-30
6	4.89	52	-68	-14
5	4.99	52	-24	34
5	4.83	36	-54	52
5	4.81	44	-38	46
5	4.53	44	-34	36
5	4.44	38	-42	48
5	4.18	28	-50	40
4	6.01	38	-74	18
4	4.93	30	-80	18
4	4.79	34	-64	24
4	4.41	30	-60	28
4	3.31	34	-70	30
3	7.14	-30	-80	16
3	4.61	-26	-70	24
3	3.49	-24	-78	26
2	6.82	-6	-18	54
2	4.69	-2	-14	68
1	5.26	-62	0	34
