Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	5518	0	49.5	7.08	-40	-42	46	-36.2	-16.2	23.6	647	-42	-22	62	246
11	4670	8.41e-45	44.1	8.95	-46	-80	2	-21.5	-69.2	-1.14	574	-44	-84	2	247
10	2428	1.18e-28	27.9	7.26	42	-88	-2	35.5	-75.9	11	521	14	-70	46	249
9	2315	9.9e-28	27	5.65	40	12	-4	19.2	3.82	34.7	589	58	12	-4	242
8	1372	2.64e-19	18.6	6.43	62	-28	12	57.2	-27.1	27.6	435	66	-22	8	246
7	628	4.17e-11	10.4	5.28	14	-72	-42	13.6	-67.8	-44.2	379	0	-78	-38	199
6	186	0.000192	3.72	4.94	-22	-72	-48	-17.5	-72.2	-49.1	284	-8	-74	-50	210
5	147	0.00114	2.94	4.64	-34	36	10	-35.2	44	16.7	389	-30	56	22	232
4	136	0.00194	2.71	4.3	34	48	16	34	51.9	18.5	489	30	58	24	290
3	107	0.00842	2.07	4.63	0	-34	-44	-0.229	-31.5	-44.4	238	0	-34	-44	192
2	88	0.0236	1.63	4.24	14	-32	34	12.5	-29.6	39.8	268	12	-30	42	198
1	78	0.0415	1.38	4.73	24	8	-14	22.2	11.5	-9.43	477	20	10	-14	263
