Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	1105	1.36e-16	15.9	5.15	52	-66	-4	33.2	-66	-17.2	502	38	-52	-24	227
11	831	1.44e-13	12.8	5.97	-38	-88	16	-39.1	-83.4	3.02	380	-38	-88	16	192
10	473	4.85e-09	8.31	5.84	-30	-42	66	-42.2	-37.4	60.5	761	-34	-40	66	305
9	451	9.9e-09	8	6.14	22	-98	12	34.1	-91.1	6.35	334	36	-94	-2	200
8	186	0.000192	3.72	5.95	-30	-82	-18	-27.8	-80.9	-15.3	384	-30	-82	-18	206
7	156	0.000748	3.13	5.28	24	-68	58	17.6	-68.4	56.4	639	10	-70	58	388
6	122	0.00388	2.41	5.3	-28	-76	26	-27.4	-79.2	28.6	376	-28	-76	26	236
5	113	0.00615	2.21	4.46	34	-50	-50	34.5	-51.7	-50.7	285	34	-46	-52	172
4	103	0.0104	1.98	4.3	-34	-52	-22	-37.6	-56	-23.8	342	-40	-60	-24	223
3	101	0.0116	1.94	4.44	46	-28	38	45.6	-29.7	38.7	276	46	-28	38	203
2	95	0.016	1.8	5.05	-8	-98	2	-10.7	-97.7	-0.778	249	-10	-102	-10	178
1	76	0.0466	1.33	5.02	-12	-14	18	-12.4	-15.7	17.2	323	-8	-10	18	214
