Cluster Index	Z	x	y	z	
12	7.08	-40	-42	46
12	6.84	-36	-32	32
12	6.8	-54	2	2
12	6.45	-34	16	6
12	6.39	-56	4	34
12	6.1	16	-32	2
11	8.95	-46	-80	2
11	6.93	-44	-64	-12
11	6.2	-18	-88	-6
11	5.9	-40	-62	10
11	5.72	-52	-56	10
11	5.69	-24	-80	26
10	7.26	42	-88	-2
10	6.87	46	-78	2
10	6.69	44	-56	-14
10	6.65	36	-84	6
10	6.35	24	-90	14
10	6.19	38	-90	10
9	5.65	40	12	-4
9	5.57	6	6	46
9	5.5	2	4	46
9	5.47	6	12	36
9	5.32	-8	6	40
9	5.24	-2	12	30
8	6.43	62	-28	12
8	5.76	42	-40	46
8	5.66	54	-16	34
8	5.54	60	-38	22
8	5.32	52	-20	30
8	5.12	66	-20	16
7	5.28	14	-72	-42
7	5.23	16	-70	-46
7	4.25	16	-60	-48
7	3.99	32	-50	-52
7	3.93	-6	-72	-38
7	3.9	30	-44	-52
6	4.94	-22	-72	-48
6	4.9	-16	-72	-48
6	3.95	-8	-76	-48
5	4.64	-34	36	10
5	4.4	-34	50	22
5	4.4	-30	56	22
5	4.22	-40	46	18
4	4.3	34	48	16
4	4.12	30	58	24
4	3.78	44	54	12
3	4.63	0	-34	-44
3	3.54	8	-30	-40
3	3.33	6	-28	-44
2	4.24	14	-32	34
2	3.9	14	-30	44
2	3.55	8	-26	42
1	4.73	24	8	-14
1	3.76	20	16	-6
1	3.43	26	18	0
