Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	4785	1.4e-45	44.8	9.28	-40	-16	66	-42.2	-32.7	48.8	1.31e+03	-40	-16	66	295
18	2973	6.34e-33	32.2	7.08	58	-42	20	46	-38.2	41.7	935	52	-34	60	268
17	2295	1.45e-27	26.8	6.41	0	-4	42	-2.08	-8.41	43.3	732	-12	-8	78	278
16	2112	4.94e-26	25.3	8.81	-36	-88	-8	-38.2	-70.8	-16.2	898	-46	-74	-22	297
15	1623	1.07e-21	21	8.86	36	-90	-4	29.9	-82.3	15.6	1.16e+03	36	-92	-4	288
14	1333	6.4e-19	18.2	6.57	-44	-4	2	-28.7	-7.28	0.104	459	-48	12	-12	207
13	1303	1.27e-18	17.9	6.1	36	-4	10	39.6	-0.719	6.74	593	62	2	0	236
12	582	1.64e-10	9.79	6.98	54	-62	-18	50.8	-63.7	-16.6	627	54	-64	-20	272
11	490	2.81e-09	8.55	7	30	-6	50	27.9	-2.44	55.1	599	24	4	68	281
10	365	1.79e-07	6.75	6.54	-60	2	32	-51.2	1.1	28.1	449	-60	0	32	230
9	221	4.32e-05	4.36	4.9	30	44	22	29.7	40.3	26.8	368	28	46	22	243
8	214	5.78e-05	4.24	4.23	0	-76	14	1.85	-72.2	9.61	413	-2	-74	12	291
7	207	7.77e-05	4.11	5.93	34	-48	-24	31.1	-48.3	-24.3	399	34	-48	-24	243
6	116	0.00527	2.28	4.54	16	-74	-24	19.9	-70.5	-19.3	257	22	-68	-16	204
5	86	0.0263	1.58	4.96	-28	26	2	-29.1	25.3	-0.895	314	-28	26	2	208
4	81	0.035	1.46	4.6	-30	-76	34	-28.3	-72.1	31	277	-30	-76	34	205
3	80	0.037	1.43	4.74	-24	-54	-50	-23.3	-53.9	-50.3	270	-24	-54	-50	204
2	77	0.044	1.36	4.58	-14	-76	-22	-10.8	-76.3	-23	248	-14	-78	-22	184
1	77	0.044	1.36	3.96	20	-58	-56	18.8	-56.4	-54.3	240	20	-58	-56	192
