Cluster Index	Z	x	y	z	
12	7.23	-46	-40	58
12	6.17	-58	-24	44
12	5.16	-46	-32	40
12	5.12	-58	-22	36
12	4.77	-58	-26	28
12	4.55	-40	-52	62
11	5.29	-44	-80	4
11	5.25	-50	-76	-16
11	5.23	-44	-70	-22
11	5.2	-46	-78	-16
11	4.75	-28	-76	-22
11	4.62	-34	-70	-20
10	5.34	44	-74	-12
10	4.89	38	-78	-14
10	4.59	38	-88	-4
10	4.52	40	-80	-2
10	4.5	42	-72	2
10	4.33	38	-86	-16
9	5.14	-24	-88	-28
9	4.8	-8	-86	-18
9	4.26	-32	-90	-16
9	3.78	-36	-88	-22
8	5.37	-60	6	10
8	4.64	-52	4	28
8	4.63	-56	6	26
8	4.42	-52	4	18
8	3.26	-62	10	-2
7	5.08	32	-56	-18
7	4.87	38	-46	-20
7	4.82	38	-54	-24
6	4.93	-32	-90	14
6	4.85	-32	-84	16
5	4.83	20	-84	28
5	4.49	30	-70	26
5	4.14	28	-78	20
4	5.06	30	-60	58
3	4.91	-6	-8	54
3	3.88	8	-4	54
2	4.78	-44	-60	6
2	4.09	-46	-68	2
2	4.07	-44	-66	-4
2	3.62	-44	-72	6
1	4.63	-34	-6	64
1	4.45	-28	-6	70
1	4.02	-40	-2	56
