Cluster Index	Z	x	y	z	
18	7.4	26	-92	-2
18	6.37	38	-88	-10
18	5.37	22	-48	-24
18	5.2	10	-102	-2
18	5.17	38	-80	-18
18	5.08	32	-52	-20
17	6.04	-32	-50	-20
17	5.46	-28	-62	-14
17	4.33	-38	-60	-10
17	4.07	-46	-50	-16
17	3.96	-40	-44	-28
17	3.8	-22	-42	-28
16	5.31	10	-76	20
16	4.72	2	-74	10
16	4.21	-14	-66	6
16	4.15	-10	-66	6
16	4.09	2	-68	8
16	3.97	-18	-70	4
15	6.01	-24	-98	2
15	5.75	-24	-96	-8
15	4.94	-12	-88	-18
15	4.7	-28	-90	10
15	4.56	-8	-102	-2
15	4.32	-8	-98	-8
14	5.4	6	6	48
14	4.72	-6	10	46
14	4.13	-4	0	44
14	4.12	4	14	36
14	4.12	0	10	40
14	4.03	6	8	34
13	5.82	-36	-88	-12
13	4.81	-24	-82	-22
13	4.72	-24	-86	-22
13	4.42	-30	-90	-18
13	4	-28	-72	-20
13	4	-38	-82	-20
12	4.74	-10	-20	6
12	4.7	-10	-18	0
12	4.64	-10	-18	-14
12	4.3	-8	-18	-6
12	4.05	-16	-28	0
12	3.84	-6	-28	-22
11	5.08	56	6	40
11	4.96	44	-2	54
11	4.38	36	-2	44
11	4.12	52	12	34
10	5.37	12	-18	8
10	3.55	4	-10	24
9	4.28	22	6	-2
9	4.18	28	10	-4
9	4.02	30	24	0
9	3.96	22	4	-6
9	3.67	30	16	-2
9	3.65	22	-4	6
8	4.28	-50	-24	56
8	4.22	-44	-28	48
8	3.75	-46	-28	60
8	3.56	-34	-30	50
8	3.46	-42	-30	42
7	4.31	32	-60	58
7	3.93	30	-56	54
6	4.6	-22	2	0
6	3.32	-16	4	6
5	4.43	-34	-20	56
5	4.31	-38	-16	68
5	3.84	-38	-22	60
5	3.67	-28	-16	74
4	4.62	-6	-80	2
4	4.01	-2	-76	0
4	3.45	-2	-80	-6
3	4.56	-36	-4	48
3	4.49	-38	-2	52
2	5.54	32	-80	22
1	4.46	26	-70	38
