Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	1003	1.69e-15	14.8	7.76	-38	-24	66	-43.2	-22.8	58.6	1.16e+03	-28	-24	72	315
15	910	1.8e-14	13.7	6.29	42	-76	-8	42.4	-65.2	-8.2	597	20	-82	-10	252
14	494	2.48e-09	8.61	6.22	-52	-70	4	-44.6	-77.2	-2.65	503	-52	-70	4	261
13	144	0.00132	2.88	5.63	-40	-2	10	-38.3	0.567	9.33	475	-40	-2	10	257
12	130	0.0026	2.58	5.37	14	6	32	12	9.82	33.5	312	14	6	32	214
11	126	0.00318	2.5	5.04	-64	-46	18	-60.2	-46.8	22.5	445	-64	-46	18	255
10	125	0.00334	2.48	4.82	-32	-42	38	-34.6	-41	40.1	288	-40	-40	42	213
9	113	0.00615	2.21	5.47	56	0	44	53	-2.22	44.7	377	56	0	44	236
8	105	0.00935	2.03	4.89	58	-20	24	59.7	-17.2	30.4	322	64	-12	34	218
7	104	0.00986	2.01	5.78	64	-2	16	62.8	-0.662	19.3	362	64	-2	16	202
6	101	0.0116	1.94	5.02	44	-10	62	40.4	-4.41	59.8	487	44	-10	62	280
5	95	0.016	1.8	6.25	66	-42	16	65.2	-42	18.3	473	66	-42	16	264
4	89	0.0223	1.65	4.77	-22	-94	2	-23.5	-95.4	6.7	307	-22	-94	2	207
3	89	0.0223	1.65	4.57	-6	0	50	-1.91	0.869	49.1	362	-4	0	50	255
2	86	0.0263	1.58	5.31	50	-26	-8	51.4	-25.3	-9.04	301	50	-26	-8	211
1	75	0.0494	1.31	5.42	-62	-20	24	-59.9	-21	23.4	357	-60	-22	22	244
