Cluster Index	Z	x	y	z	
15	8.94	-32	-88	-10
15	8.35	40	-84	-4
15	8.31	38	-90	0
15	8.2	-30	-74	-22
15	7.86	-36	-58	-26
15	7.71	52	-62	-14
14	6.04	8	-2	6
14	6.01	-14	-6	12
14	5.79	-38	-40	10
14	5.75	-18	-18	12
14	5.7	2	-8	2
14	5.63	66	-28	10
13	7.76	-34	-18	66
13	7.23	-28	-24	70
13	6.58	-22	-24	76
13	6.4	-12	-18	82
13	6.22	-38	-36	66
13	5.95	-24	-26	60
12	6.21	-30	-50	40
12	4.29	-30	-74	46
12	4.21	-40	-56	54
12	4.18	-32	-50	28
12	4.12	-36	-62	58
12	3.71	-26	-60	36
11	5.81	-54	8	-4
11	4.42	-42	20	2
11	4.09	-38	28	-2
11	4.01	-44	6	-2
11	3.84	-62	4	-12
11	3.71	-50	12	4
10	7.07	56	-24	50
10	5.52	50	-22	58
10	4.85	44	-28	42
10	3.99	48	-36	56
10	3.78	38	-40	50
9	4.71	32	52	4
9	4.45	26	56	10
9	4.34	30	60	6
9	4.11	24	68	-2
9	3.83	26	54	-2
9	3.79	34	58	12
8	5.68	-2	-46	20
8	5.21	2	-32	24
8	4.85	-2	-28	24
8	4.34	-4	-44	2
8	4.28	0	-46	8
7	5.4	4	26	34
7	3.88	-8	26	28
7	3.42	4	12	36
6	5.47	28	-24	68
6	3.9	22	-20	74
5	5.04	2	18	66
4	5.01	-36	54	12
4	4.02	-36	44	16
3	4.6	-44	8	30
3	3.94	-48	14	32
3	3.56	-48	4	38
2	4.24	40	-8	48
2	4.02	38	-8	42
2	3.76	32	-8	48
2	3.44	32	-4	46
1	5.2	-48	-16	50
