Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
17	2502	2.98e-29	28.5	7.31	-22	-94	8	-20.7	-80.9	-2.69	558	-30	-82	30	233
16	1164	3.29e-17	16.5	6.73	2	-4	56	1.94	3.27	52.2	766	-10	-4	72	321
15	1146	5.07e-17	16.3	7.33	34	-84	22	34.6	-65.9	33.9	686	38	-46	38	283
14	774	6.72e-13	12.2	7.74	38	26	-2	45.1	17.6	-2.1	737	38	26	-2	298
13	705	4.56e-12	11.3	7.01	58	12	26	53.7	16.3	26.8	742	58	22	26	317
12	382	1.19e-07	6.92	7.18	-36	18	4	-35.6	18.5	-1.84	568	-36	18	4	263
11	324	7.75e-07	6.11	5.94	-58	-24	30	-56	-29.7	25.9	482	-60	-24	30	236
10	298	2.09e-06	5.68	6.11	52	-42	20	59.7	-38.5	18.6	529	66	-38	22	272
9	275	5.01e-06	5.3	4.78	-36	-62	54	-29.7	-66.7	46.8	471	-34	-66	56	284
8	260	8.94e-06	5.05	6.04	-38	-38	48	-40.7	-38.2	42.4	462	-44	-42	46	275
7	215	5.54e-05	4.26	4.77	20	-52	-28	28.7	-48	-30.4	246	36	-46	-32	182
6	174	0.000328	3.48	7.28	-58	2	38	-56.9	2.16	37.3	747	-58	2	38	319
5	152	0.000901	3.05	5.57	-26	-6	54	-26.9	-7.31	51.4	410	-28	-8	54	241
4	128	0.00288	2.54	4.72	-40	-24	64	-39.9	-22.3	62.5	620	-42	-26	66	294
3	110	0.00719	2.14	5.41	56	-68	6	51.8	-67.5	4.31	310	56	-68	4	218
2	95	0.016	1.8	4.6	26	-58	-54	24.5	-63.4	-52.9	241	16	-72	-54	187
1	76	0.0466	1.33	5	46	-2	46	42.6	-4.79	51.1	377	40	-6	64	247
