Cluster Index	Z	x	y	z	
7	8.6	-38	-74	-16
7	7.42	-30	-98	-4
7	7.32	-38	-94	-12
7	7.06	-22	-96	-10
7	6.5	-28	-96	10
7	6.48	-28	-92	12
6	6.79	24	-90	-16
6	6.67	16	-92	-14
6	6.61	18	-92	-10
6	6.06	24	-60	-22
6	5.94	24	-54	-18
6	5.93	28	-90	6
5	4.77	-46	-34	48
5	4.67	-38	-34	40
5	4.55	-42	-36	42
5	4.48	-58	-30	48
5	4.47	-34	-26	46
5	4.08	-38	-30	52
4	5.88	42	-62	40
4	4.19	36	-70	48
4	3.91	36	-50	36
4	3.82	30	-58	48
4	3.7	34	-52	46
4	3.36	38	-54	50
3	5	30	-78	20
3	4.39	34	-72	26
2	4.83	-28	-10	72
2	4.45	-34	-14	70
1	5	-24	-86	28
1	3.88	-26	-84	22
