Cluster Index	Z	x	y	z	
16	7.76	-38	-24	66
16	6	-44	-34	66
16	5.99	-28	-24	72
16	5.88	-50	-16	56
16	5.38	-60	-28	46
16	5.08	-18	-22	76
15	6.29	42	-76	-8
15	6	46	-50	-22
15	5.82	34	-48	-18
15	5.57	52	-68	-8
15	5.44	42	-62	-14
15	5.02	52	-66	6
14	6.22	-52	-70	4
14	5.37	-46	-76	-4
14	5.22	-42	-78	0
14	5.18	-42	-88	-4
14	4.73	-38	-78	-8
14	4.53	-32	-86	-8
13	5.63	-40	-2	10
12	5.37	14	6	32
12	4.68	12	14	32
12	4.38	10	16	36
11	5.04	-64	-46	18
11	5.03	-62	-44	22
10	4.82	-32	-42	38
10	4.02	-40	-40	42
9	5.47	56	0	44
9	4.8	50	-4	52
8	4.89	58	-20	24
8	4.06	62	-14	44
8	3.99	60	-10	44
8	3.64	64	-12	34
7	5.78	64	-2	16
7	4.06	64	0	26
6	5.02	44	-10	62
6	3.86	38	4	58
5	6.25	66	-42	16
5	3.63	60	-44	24
4	4.77	-22	-94	2
4	4.41	-26	-98	10
4	3.29	-30	-100	-4
3	4.57	-6	0	50
3	3.42	8	-4	50
2	5.31	50	-26	-8
1	5.42	-62	-20	24
