Cluster Index	Z	x	y	z	
19	9.28	-40	-16	66
19	9.16	-62	-22	28
19	8.44	-52	-32	56
19	7.56	-16	-54	62
19	7.3	-62	-28	44
19	7.22	-44	-38	58
18	7.08	58	-42	20
18	6.04	34	-48	42
18	5.94	36	-24	68
18	5.76	38	-34	38
18	5.6	52	-32	62
18	5.49	32	-44	56
17	6.41	0	-4	42
17	6.4	-6	2	40
17	6.09	2	-36	26
17	6.03	0	-10	58
17	5.91	0	-6	36
17	5.9	-10	-12	46
16	8.81	-36	-88	-8
16	7.53	-36	-86	-20
16	7.15	-48	-72	-22
16	6.41	-40	-70	-14
16	6.15	-32	-54	-28
16	6.03	-48	-68	-10
15	8.86	36	-90	-4
15	6.76	34	-80	22
15	6.26	30	-66	28
15	6.25	34	-72	30
15	5.63	18	-70	36
15	5.4	32	-98	-2
14	6.57	-44	-4	2
14	6.55	-8	-18	4
14	5.44	-42	8	-2
14	5.34	-40	4	-4
14	4.8	-46	10	-8
14	4.73	-18	-24	8
13	6.1	36	-4	10
13	5.97	56	4	0
13	5.87	58	6	22
13	5.73	10	-14	4
13	5.26	48	2	18
13	5.13	38	6	0
12	6.98	54	-62	-18
12	5.94	46	-72	-16
12	4.6	50	-56	-32
12	4.11	50	-48	-12
12	4.02	46	-78	-8
12	3.67	50	-52	-24
11	7	30	-6	50
11	5.33	24	4	68
11	4.9	26	2	64
11	4.82	18	10	68
11	4.8	30	-2	64
11	3.48	28	6	54
10	6.54	-60	2	32
10	5.66	-44	-2	32
10	5.21	-60	2	22
10	4.5	-40	2	22
10	3.66	-52	-4	38
9	4.9	30	44	22
9	4.39	28	36	22
9	4.28	30	28	26
9	4.15	28	50	34
9	3.57	24	52	28
8	4.23	0	-76	14
8	4.07	14	-66	4
8	3.72	0	-80	4
8	3.65	4	-64	8
8	3.57	-12	-74	12
7	5.93	34	-48	-24
7	4.03	40	-50	-32
7	3.14	34	-58	-26
6	4.54	16	-74	-24
6	4.23	22	-66	-18
5	4.96	-28	26	2
5	4	-32	30	-4
5	3.78	-26	22	-6
5	3.63	-30	20	-4
4	4.6	-30	-76	34
4	4.44	-26	-66	30
4	3.75	-28	-72	24
4	3.4	-32	-74	28
3	4.74	-24	-54	-50
2	4.58	-14	-76	-22
2	3.62	-6	-74	-24
1	3.96	20	-58	-56
1	3.53	16	-58	-50
1	3.51	18	-50	-54
