Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	1844	1.05e-23	23	5.93	-40	-70	6	-35.9	-78.3	-1.47	402	-36	-88	0	231
19	1352	4.15e-19	18.4	5.81	48	-64	-10	39.4	-75.7	-1.13	408	54	-70	-2	220
18	1211	1.08e-17	17	6.52	-52	-2	-4	-31.4	-3.72	-0.584	413	-58	2	-2	220
17	1151	4.49e-17	16.3	6.64	42	0	10	38.7	2.93	-0.428	422	42	0	10	215
16	1100	1.54e-16	15.8	5.62	-44	-42	56	-35.7	-44.8	48.5	604	-28	-56	58	248
15	999	1.87e-15	14.7	7.16	-2	0	58	-2.31	7.17	48.8	640	-2	2	58	281
14	618	5.6e-11	10.3	5.85	32	-58	56	32.1	-52	49.1	422	40	-42	62	228
13	528	8.51e-10	9.07	5.41	66	-38	26	57.4	-47.5	12.8	396	60	-60	12	232
12	451	9.9e-09	8	5.57	30	-46	-24	29.5	-48.3	-22	413	30	-58	-18	225
11	352	2.98e-07	6.53	4.96	52	4	32	48.5	4.26	30.6	375	48	8	26	234
10	200	0.000105	3.98	4.81	-54	8	30	-52.8	5.74	28.6	366	-54	8	30	222
9	121	0.00409	2.39	4.26	8	-20	4	9.07	-17.3	4.04	328	8	-18	6	235
8	116	0.00527	2.28	4.21	0	-56	50	-1.36	-53.2	51.7	293	0	-56	58	228
7	114	0.00584	2.23	4.49	-8	-14	40	-9.15	-17.9	43.3	282	-8	-22	48	202
6	110	0.00719	2.14	4.28	-60	-34	28	-58.9	-38	26.2	281	-60	-40	22	218
5	107	0.00842	2.07	4.45	-64	-18	16	-61.6	-20.6	18.2	311	-64	-20	12	224
4	95	0.016	1.8	5.65	62	-18	22	61.7	-20	21.1	371	62	-18	22	256
3	93	0.0179	1.75	4.39	-40	0	52	-39.4	-0.979	52	302	-38	0	52	213
2	91	0.0199	1.7	4.63	-40	38	14	-39.4	37.3	14.2	297	-40	36	12	218
1	88	0.0236	1.63	4.53	-46	-52	12	-45.6	-51.1	13.7	277	-46	-52	12	205
