Cluster Index	Z	x	y	z	
13	7.34	-38	-28	66
13	6.77	-28	-20	72
13	6.64	-32	-20	68
13	6.18	-24	-12	74
13	6.1	-34	-20	40
13	5.4	-48	-30	58
12	6.3	46	-70	-4
12	5.97	50	-76	-6
12	5.61	46	-56	6
12	5.48	44	-88	4
12	4.9	24	-70	-16
12	4.77	30	-76	-14
11	6.34	-52	-74	-2
11	5.82	-34	-92	4
11	5.52	-42	-78	-14
11	5.46	-42	-84	-2
11	5.38	-44	-74	-12
11	5.22	-38	-86	2
10	5.55	24	-42	-22
10	5.03	26	-48	-24
10	4.92	34	-50	-24
10	4.82	44	-58	-26
10	4.76	50	-56	-18
10	4.76	34	-42	-32
9	5.04	-2	-4	56
9	4.97	2	-8	62
9	4.41	14	8	70
9	4.11	8	4	58
9	3.87	-2	-8	72
9	3.62	18	0	72
8	6.78	-50	-44	2
8	4.63	-48	-54	10
8	4.63	-44	-48	8
8	4.43	-40	-52	18
8	3.4	-58	-44	6
7	4.9	6	-22	24
7	4.87	4	-24	30
7	4.07	10	-30	22
7	3.48	-2	-30	22
7	3.25	2	-32	24
6	5.41	32	-52	48
5	4.71	-24	-64	36
5	3.51	-26	-68	24
5	3.45	-22	-70	42
5	3.34	-22	-78	32
5	3.28	-32	-62	36
5	3.15	-22	-84	38
4	5.04	-18	-62	68
4	3.3	-10	-58	66
3	4.39	4	20	34
3	3.67	12	10	38
3	3.61	4	12	46
3	3.43	6	8	38
2	4.83	-6	-18	10
1	4.56	40	-70	26
1	4	42	-78	28
1	3.79	34	-68	20
